Tanggal,Jam,Kategori,Jumlah,Keterangan
2022-04-15,14:30:00,pulsa,17000,Beli voucher TV kabel
2022-04-16,07:42:00,kesehatan,41000,Vaksinasi anak dan dewasa
2022-04-16,18:48:00,belanja,33000,Belanja bumbu masak
2022-04-16,13:50:00,asuransi,53000,Pembayaran klaim asuransi
2022-04-16,16:12:00,tagihan,65000,Bayar biaya parkir dan sampah
2022-04-17,14:23:00,rumah,74000,Service dan perawatan AC
2022-04-17,18:02:00,pulsa,9000,Bayar tagihan telepon prabayar
2022-04-17,06:49:00,asuransi,85000,Bayar premi asuransi jiwa
2022-04-18,08:12:00,belanja,78000,Belanja perlengkapan mandi
2022-04-18,19:38:00,asuransi,56000,Bayar premi asuransi usaha
2022-04-18,09:48:00,lain-lain,12000,Biaya perizinan dan administrasi
2022-04-18,10:19:00,pulsa,17000,Bayar tagihan telepon prabayar
2022-04-19,13:48:00,makan,17000,Beli minuman es teh
2022-04-19,18:46:00,asuransi,72000,Bayar premi asuransi perjalanan
2022-04-19,19:04:00,rumah,83000,Beli kursi dan meja baru
2022-04-19,20:59:00,lain-lain,32000,Hadiah ulang tahun keluarga
2022-04-20,19:02:00,lain-lain,28000,Donasi bencana alam
2022-04-20,08:32:00,loundry,17000,Setrika pakaian batik
2022-04-20,12:16:00,pulsa,8000,Isi ulang pulsa telepon
2022-04-20,12:08:00,lain-lain,26000,Donasi bencana alam
2022-04-20,09:36:00,kesehatan,44000,Pemeriksaan laboratorium
2022-04-21,19:47:00,tagihan,95000,Bayar tagihan gas elpiji
2022-04-21,11:02:00,pulsa,18000,Top up e-wallet GoPay/Ovo/Dana
2022-04-21,15:08:00,loundry,13000,Cuci tas dan sepatu
2022-04-21,11:34:00,lain-lain,21000,Donasi bencana alam
2022-04-22,12:44:00,pakaian,50000,Beli baju anak-anak
2022-04-22,19:33:00,asuransi,72000,Perpanjangan asuransi rumah
2022-04-22,12:36:00,lain-lain,12000,Transportasi darurat
2022-04-22,09:37:00,asuransi,97000,Bayar premi asuransi kesehatan
2022-04-22,16:47:00,kesehatan,78000,Pembelian alat kesehatan seperti tensimeter
2022-04-23,15:56:00,loundry,24000,Setrika pakaian kerja
2022-04-23,09:34:00,tagihan,97000,Bayar layanan kebersihan lingkungan
2022-04-23,13:40:00,lain-lain,34000,Bayar denda tilang
2022-04-23,10:34:00,kesehatan,54000,Pembelian obat resep dokter
2022-04-24,08:47:00,hiburan,33000,Mengikuti kelas musik atau tari
2022-04-24,19:53:00,kesehatan,57000,Pembelian alat kesehatan seperti tensimeter
2022-04-24,14:26:00,lain-lain,34000,Transportasi darurat
2022-04-25,21:12:00,pajak,92000,Bayar pajak reklame
2022-04-25,15:25:00,makan,49000,Beli gorengan di sekolah
2022-04-25,17:27:00,kesehatan,37000,Pemeriksaan laboratorium
2022-04-26,18:28:00,makan,32000,Makan di warteg
2022-04-26,12:12:00,lain-lain,40000,Pembelian souvenir acara keluarga
2022-04-26,08:02:00,makan,11000,Beli makanan online lewat aplikasi
2022-04-26,21:28:00,belanja,38000,Beli alat elektronik kecil
2022-04-26,12:42:00,hiburan,19000,Beli cemilan saat nonton TV
2022-04-27,19:38:00,rumah,81000,Beli tirai dan gorden
2022-04-27,15:53:00,lain-lain,15000,Hadiah ulang tahun keluarga
2022-04-27,20:22:00,hiburan,44000,Main game online berbayar
2022-04-28,16:52:00,tagihan,88000,Bayar tagihan gas elpiji
2022-04-28,13:11:00,makan,44000,Beli makanan online lewat aplikasi
2022-04-28,08:38:00,pulsa,5000,Isi ulang pulsa telepon
2022-04-29,21:49:00,belanja,24000,Beli alat elektronik kecil
2022-04-29,21:02:00,hiburan,10000,Beli buku novel dan komik
2022-04-29,08:40:00,pajak,52000,Bayar pajak penghasilan
2022-04-30,17:30:00,tagihan,69000,Bayar tagihan internet dan WiFi
2022-04-30,08:54:00,makan,16000,Beli jajanan pasar tradisional
2022-04-30,20:17:00,pajak,53000,Bayar pajak kendaraan pribadi
2022-04-30,21:49:00,lain-lain,22000,Biaya penitipan anak
2022-05-01,14:31:00,hiburan,13000,Beli cemilan saat nonton TV
2022-05-01,12:50:00,pajak,82000,Bayar pajak hotel dan restoran
2022-05-01,11:52:00,belanja,69000,Beli alat elektronik kecil
2022-05-02,12:13:00,belanja,26000,Belanja kebutuhan rumah tangga
2022-05-02,08:19:00,belanja,65000,Beli alat tulis dan kantor
2022-05-02,07:09:00,asuransi,95000,Pembayaran klaim asuransi
2022-05-02,06:50:00,lain-lain,47000,Donasi bencana alam
2022-05-03,17:05:00,asuransi,68000,Bayar premi asuransi kesehatan
2022-05-03,20:01:00,kesehatan,46000,Cek kesehatan di klinik
2022-05-03,07:00:00,lain-lain,30000,Biaya tak terduga
2022-05-04,09:36:00,pajak,81000,Bayar pajak listrik usaha
2022-05-04,19:02:00,belanja,55000,Beli alat tulis dan kantor
2022-05-04,10:41:00,pulsa,16000,Bayar tagihan telepon prabayar
2022-05-04,17:13:00,makan,23000,Beli minuman es teh
2022-05-04,08:45:00,kesehatan,93000,Terapi pijat dan refleksi
2022-05-05,19:42:00,tagihan,77000,Bayar layanan kebersihan lingkungan
2022-05-05,12:50:00,loundry,29000,Bersihkan karpet rumah
2022-05-05,19:41:00,kesehatan,40000,Konsultasi dokter umum
2022-05-06,07:58:00,belanja,57000,Beli alat tulis dan kantor
2022-05-06,08:15:00,pajak,60000,Bayar pajak reklame
2022-05-06,15:52:00,pakaian,65000,Beli sepatu formal
2022-05-07,17:33:00,lain-lain,15000,Donasi bencana alam
2022-05-07,12:34:00,belanja,74000,Beli peralatan kebersihan rumah
2022-05-07,17:21:00,lain-lain,11000,Transportasi darurat
2022-05-07,11:17:00,tagihan,92000,Bayar tagihan air PDAM
2022-05-08,13:28:00,asuransi,54000,Bayar premi asuransi usaha
2022-05-08,09:53:00,tagihan,92000,Bayar tagihan telepon rumah
2022-05-08,08:46:00,belanja,63000,Belanja perlengkapan mandi
2022-05-09,09:02:00,pajak,96000,Pelaporan pajak tahunan
2022-05-09,11:29:00,belanja,71000,Beli pakaian baru
2022-05-09,11:54:00,tagihan,32000,Bayar tagihan gas elpiji
2022-05-10,11:29:00,loundry,20000,Cuci tas dan sepatu
2022-05-10,21:39:00,pakaian,72000,Beli baju kerja dan seragam
2022-05-10,11:54:00,makan,20000,Makan di warteg
2022-05-10,16:39:00,pakaian,43000,Beli baju anak-anak
2022-05-10,18:30:00,rumah,83000,Perbaikan instalasi listrik rumah
2022-05-11,19:36:00,lain-lain,24000,Biaya perizinan dan administrasi
2022-05-11,16:26:00,pajak,64000,Bayar pajak penghasilan
2022-05-11,17:27:00,pulsa,19000,Pembayaran layanan telekomunikasi lainnya
2022-05-11,11:50:00,asuransi,79000,Pembayaran klaim asuransi
2022-05-11,18:01:00,asuransi,81000,Bayar premi asuransi usaha
2022-05-12,11:15:00,rumah,73000,"Pembelian alat keamanan rumah (CCTV, alarm)"
2022-05-12,14:15:00,tagihan,58000,Bayar langganan majalah/koran
2022-05-12,19:59:00,hiburan,32000,Main game online berbayar
2022-05-12,19:58:00,hiburan,42000,Mengikuti kelas musik atau tari
2022-05-12,11:15:00,loundry,15000,Loundry pakaian olahraga
2022-05-13,19:46:00,tagihan,40000,Bayar tagihan internet dan WiFi
2022-05-13,10:50:00,makan,14000,Makan siang di kantin
2022-05-13,17:27:00,pulsa,7000,Beli kuota internet tambahan
2022-05-13,21:35:00,pulsa,19000,Beli paket SMS dan telepon
2022-05-14,14:42:00,belanja,44000,Beli pakaian baru
2022-05-14,13:15:00,pajak,81000,Pelaporan pajak tahunan
2022-05-14,09:04:00,asuransi,77000,Bayar premi asuransi kendaraan
2022-05-14,20:12:00,pajak,58000,Pelunasan denda pajak
2022-05-15,06:55:00,pakaian,39000,Beli kaos dan celana casual
2022-05-15,21:45:00,pakaian,55000,Beli pakaian olahraga
2022-05-15,10:08:00,tagihan,34000,Bayar iuran keamanan lingkungan
2022-05-16,13:57:00,kesehatan,67000,Pembelian masker dan hand sanitizer
2022-05-16,07:17:00,kesehatan,70000,Pembelian masker dan hand sanitizer
2022-05-16,06:51:00,asuransi,52000,Bayar premi asuransi kendaraan bermotor
2022-05-16,19:04:00,hiburan,47000,Beli buku novel dan komik
2022-05-17,21:56:00,tagihan,64000,Bayar tagihan telepon rumah
2022-05-17,16:53:00,pulsa,8000,Beli paket data internet
2022-05-17,07:28:00,pulsa,16000,Beli pulsa untuk perangkat IoT
2022-05-18,21:30:00,tagihan,77000,Bayar langganan majalah/koran
2022-05-18,07:06:00,tagihan,45000,Bayar tagihan listrik bulanan
2022-05-18,17:33:00,belanja,69000,Beli peralatan kebersihan rumah
2022-05-18,18:50:00,tagihan,67000,Bayar tagihan listrik bulanan
2022-05-19,09:48:00,hiburan,38000,Main game online berbayar
2022-05-19,20:03:00,pulsa,15000,Beli paket SMS dan telepon
2022-05-19,18:05:00,loundry,27000,Setrika pakaian kerja
2022-05-19,14:05:00,loundry,26000,Setrika pakaian batik
2022-05-20,15:43:00,pakaian,45000,Beli pakaian dalam
2022-05-20,20:32:00,tagihan,51000,Bayar tagihan internet dan WiFi
2022-05-20,14:51:00,rumah,73000,Beli kursi dan meja baru
2022-05-20,12:20:00,asuransi,55000,Bayar premi asuransi pendidikan anak
2022-05-20,06:56:00,loundry,17000,Loundry seragam sekolah
2022-05-21,19:41:00,pajak,90000,Bayar pajak usaha
2022-05-21,11:42:00,pulsa,7000,Beli paket SMS dan telepon
2022-05-21,15:45:00,rumah,93000,"Pembelian alat keamanan rumah (CCTV, alarm)"
2022-05-22,09:47:00,lain-lain,11000,Sedekah ke masjid atau panti asuhan
2022-05-22,06:59:00,tagihan,49000,Bayar tagihan TV kabel dan streaming
2022-05-22,08:35:00,kesehatan,79000,Cek kesehatan di klinik
2022-05-22,18:18:00,makan,31000,Beli sarapan di warung
2022-05-22,09:43:00,rumah,62000,"Pembelian alat keamanan rumah (CCTV, alarm)"
2022-05-23,11:41:00,hiburan,23000,Beli buku novel dan komik
2022-05-23,13:45:00,pajak,92000,Bayar pajak reklame
2022-05-23,08:35:00,hiburan,30000,Langganan majalah hiburan
2022-05-23,12:04:00,hiburan,30000,Berlangganan Netflix/Disney+
2022-05-24,16:26:00,makan,43000,Jajan cemilan pasar
2022-05-24,13:30:00,hiburan,22000,Berlangganan Netflix/Disney+
2022-05-24,18:32:00,lain-lain,46000,Sedekah ke masjid atau panti asuhan
2022-05-24,06:55:00,loundry,21000,Loundry pakaian berbahan khusus
2022-05-24,17:49:00,tagihan,76000,Bayar layanan kebersihan lingkungan
2022-05-25,19:55:00,pakaian,70000,Beli kaos dan celana casual
2022-05-25,15:34:00,tagihan,47000,Bayar tagihan internet dan WiFi
2022-05-25,14:29:00,kesehatan,72000,Cek kesehatan di klinik
2022-05-26,08:29:00,tagihan,95000,Bayar langganan majalah/koran
2022-05-26,09:50:00,rumah,72000,Beli tirai dan gorden
2022-05-26,09:08:00,lain-lain,23000,Pembelian alat tulis kantor
2022-05-26,12:47:00,belanja,63000,Belanja perlengkapan sekolah anak
2022-05-27,11:59:00,pakaian,77000,Beli baju anak-anak
2022-05-27,16:55:00,asuransi,65000,Bayar premi asuransi usaha
2022-05-27,08:27:00,pulsa,17000,Beli paket SMS dan telepon
2022-05-27,18:28:00,pakaian,32000,Beli sepatu formal
2022-05-28,06:15:00,pajak,62000,Pelaporan pajak tahunan
2022-05-28,15:32:00,makan,47000,Beli nasi bungkus
2022-05-28,15:14:00,pulsa,17000,Beli voucher game online
2022-05-29,21:14:00,tagihan,60000,Bayar tagihan TV kabel dan streaming
2022-05-29,09:12:00,belanja,41000,Beli alat tulis dan kantor
2022-05-29,14:54:00,pakaian,44000,Beli jaket dan sweater
2022-05-30,11:47:00,loundry,12000,Cuci pakaian harian
2022-05-30,13:31:00,makan,40000,Beli nasi bungkus
2022-05-30,12:28:00,pakaian,30000,Beli baju kerja dan seragam
2022-05-30,07:39:00,pakaian,45000,Beli sepatu formal
2022-05-30,14:15:00,loundry,10000,Setrika pakaian kerja
2022-05-31,11:31:00,loundry,23000,Setrika pakaian kerja
2022-05-31,15:46:00,kesehatan,57000,Vaksinasi anak dan dewasa
2022-05-31,08:54:00,belanja,26000,Beli alat elektronik kecil
2022-06-01,18:43:00,kesehatan,85000,Pembelian obat resep dokter
2022-06-01,16:29:00,hiburan,16000,Bermain di taman rekreasi
2022-06-01,06:50:00,pajak,93000,Bayar pajak penghasilan
2022-06-01,10:13:00,pajak,96000,Bayar pajak penghasilan
2022-06-02,06:58:00,pajak,94000,Bayar pajak listrik usaha
2022-06-02,10:07:00,pajak,64000,Bayar pajak hotel dan restoran
2022-06-02,11:31:00,asuransi,73000,Bayar premi asuransi pendidikan anak
2022-06-02,10:57:00,belanja,29000,Belanja kebutuhan dapur
2022-06-03,21:14:00,pakaian,37000,Beli jaket dan sweater
2022-06-03,11:32:00,hiburan,34000,Beli tiket konser musik
2022-06-03,18:28:00,lain-lain,21000,Pembelian alat tulis kantor
2022-06-04,13:03:00,pajak,73000,Bayar pajak usaha
2022-06-04,12:51:00,lain-lain,32000,Transportasi darurat
2022-06-04,19:15:00,pajak,98000,Bayar pajak usaha
2022-06-04,19:53:00,pajak,98000,Pelaporan pajak tahunan
2022-06-04,16:29:00,makan,21000,Beli jajanan pasar tradisional
2022-06-05,08:10:00,asuransi,90000,Bayar premi asuransi kesehatan
2022-06-05,19:40:00,asuransi,77000,Bayar premi asuransi pendidikan anak
2022-06-05,16:47:00,pajak,67000,Bayar pajak reklame
2022-06-05,16:14:00,makan,10000,Makan siang di kantin
2022-06-05,10:04:00,tagihan,99000,Bayar layanan kebersihan lingkungan
2022-06-06,21:42:00,pulsa,8000,Beli kuota internet tambahan
2022-06-06,17:07:00,pulsa,14000,Beli voucher TV kabel
2022-06-06,06:44:00,asuransi,96000,Bayar premi asuransi pendidikan anak
2022-06-07,14:10:00,belanja,67000,Belanja bumbu masak
2022-06-07,20:49:00,tagihan,55000,Bayar tagihan air PDAM
2022-06-07,19:19:00,hiburan,27000,Main game online berbayar
2022-06-08,18:58:00,makan,17000,Makan di warteg
2022-06-08,17:41:00,belanja,48000,Belanja kebutuhan rumah tangga
2022-06-08,13:24:00,pakaian,58000,Beli pakaian olahraga
2022-06-09,16:17:00,kesehatan,35000,Pembelian masker dan hand sanitizer
2022-06-09,08:38:00,pajak,74000,Bayar pajak usaha
2022-06-09,14:00:00,pajak,51000,Bayar pajak bumi dan bangunan (PBB)
2022-06-10,10:58:00,lain-lain,37000,Transportasi darurat
2022-06-10,19:33:00,asuransi,70000,Bayar premi asuransi jiwa
2022-06-10,07:44:00,rumah,90000,Beli kursi dan meja baru
2022-06-10,07:04:00,pajak,95000,Bayar pajak listrik usaha
2022-06-11,08:43:00,kesehatan,97000,Konsultasi dokter umum
2022-06-11,10:00:00,tagihan,90000,Bayar tagihan internet dan WiFi
2022-06-11,08:32:00,belanja,38000,Belanja perlengkapan sekolah anak
2022-06-12,18:53:00,tagihan,39000,Bayar tagihan internet dan WiFi
2022-06-12,06:58:00,pulsa,16000,Bayar tagihan telepon prabayar
2022-06-12,15:08:00,lain-lain,35000,Pembelian souvenir acara keluarga
2022-06-13,18:04:00,pulsa,19000,Beli pulsa untuk perangkat IoT
2022-06-13,19:09:00,loundry,29000,Loundry pakaian olahraga
2022-06-13,06:48:00,pakaian,33000,Beli aksesoris pakaian
2022-06-13,19:51:00,pulsa,9000,Beli kuota internet tambahan
2022-06-14,20:23:00,belanja,64000,Beli alat tulis dan kantor
2022-06-14,15:06:00,lain-lain,45000,Pembelian alat tulis kantor
2022-06-14,21:42:00,asuransi,69000,Bayar premi asuransi perjalanan
2022-06-15,10:14:00,pulsa,6000,Beli paket SMS dan telepon
2022-06-15,07:24:00,kesehatan,86000,Pembelian alat kesehatan seperti tensimeter
2022-06-15,08:45:00,pulsa,17000,Pembayaran layanan telekomunikasi lainnya
2022-06-16,12:41:00,lain-lain,13000,Pembelian souvenir acara keluarga
2022-06-16,09:24:00,kesehatan,51000,Pemeriksaan laboratorium
2022-06-16,20:13:00,asuransi,90000,Pembayaran klaim asuransi
2022-06-16,19:12:00,pakaian,34000,Beli sepatu formal
2022-06-16,20:59:00,pakaian,69000,Beli pakaian dalam
2022-06-17,07:57:00,asuransi,82000,Bayar premi asuransi kendaraan bermotor
2022-06-17,15:45:00,belanja,50000,Belanja bumbu masak
2022-06-17,15:07:00,tagihan,69000,Bayar tagihan telepon rumah
2022-06-17,19:46:00,pajak,82000,Pelaporan pajak tahunan
2022-06-17,11:27:00,tagihan,68000,Bayar iuran keamanan lingkungan
2022-06-18,20:22:00,lain-lain,48000,Biaya perizinan dan administrasi
2022-06-18,07:35:00,asuransi,79000,Bayar premi asuransi pendidikan anak
2022-06-18,17:32:00,lain-lain,28000,Pembelian alat tulis kantor
2022-06-18,12:49:00,loundry,14000,Loundry pakaian anak
2022-06-18,12:38:00,pajak,51000,Pelunasan denda pajak
2022-06-19,20:50:00,tagihan,98000,Bayar layanan kebersihan lingkungan
2022-06-19,20:53:00,rumah,98000,Perbaikan instalasi listrik rumah
2022-06-19,19:18:00,kesehatan,59000,Pembelian masker dan hand sanitizer
2022-06-19,21:06:00,belanja,55000,Belanja kebutuhan dapur
2022-06-19,08:04:00,pulsa,17000,Pembayaran layanan telekomunikasi lainnya
2022-06-20,12:03:00,rumah,77000,Service dan perawatan AC
2022-06-20,07:09:00,tagihan,73000,Bayar tagihan TV kabel dan streaming
2022-06-20,09:09:00,hiburan,29000,Bermain di taman rekreasi
2022-06-20,15:37:00,belanja,48000,Belanja kebutuhan dapur
2022-06-20,19:38:00,loundry,12000,Cuci pakaian harian
2022-06-21,09:56:00,kesehatan,97000,Pembelian obat flu dan batuk
2022-06-21,11:01:00,kesehatan,75000,Cek kesehatan di klinik
2022-06-21,16:31:00,loundry,25000,Cuci tas dan sepatu
2022-06-22,17:44:00,pulsa,15000,Isi ulang pulsa telepon
2022-06-22,13:00:00,pakaian,63000,Beli pakaian muslim
2022-06-22,18:26:00,pakaian,73000,Beli sepatu formal
2022-06-22,08:58:00,tagihan,45000,Bayar biaya parkir dan sampah
2022-06-22,19:38:00,pajak,65000,Bayar pajak hotel dan restoran
2022-06-23,11:07:00,asuransi,57000,Bayar premi asuransi usaha
2022-06-23,18:02:00,hiburan,17000,Bermain di taman rekreasi
2022-06-23,21:42:00,tagihan,30000,Bayar tagihan listrik bulanan
2022-06-23,17:43:00,pajak,72000,Bayar pajak kendaraan pribadi
2022-06-24,18:48:00,hiburan,10000,Nonton pertunjukan teater atau seni tradisional
2022-06-24,18:38:00,rumah,89000,Perbaikan atap rumah bocor
2022-06-24,21:23:00,belanja,24000,Beli sayur dan buah segar
2022-06-25,11:17:00,pakaian,48000,Beli pakaian muslim
2022-06-25,14:00:00,loundry,14000,Cuci pakaian harian
2022-06-25,14:20:00,pakaian,66000,Beli aksesoris pakaian
2022-06-25,18:40:00,pajak,71000,Bayar pajak reklame
2022-06-25,08:13:00,belanja,20000,Beli peralatan kebersihan rumah
2022-06-26,06:43:00,belanja,61000,Beli peralatan kebersihan rumah
2022-06-26,19:04:00,lain-lain,42000,Biaya penitipan anak
2022-06-26,07:17:00,pakaian,66000,Beli topi dan sabuk
2022-06-26,06:35:00,pulsa,8000,Beli kuota internet tambahan
2022-06-26,12:04:00,tagihan,51000,Bayar langganan majalah/koran
2022-06-27,13:44:00,lain-lain,48000,Pembelian souvenir acara keluarga
2022-06-27,21:15:00,pakaian,55000,Beli jaket dan sweater
2022-06-27,19:44:00,pajak,87000,Bayar pajak reklame
2022-06-27,20:29:00,makan,35000,Beli minuman es teh
2022-06-28,14:47:00,hiburan,27000,Bermain di taman rekreasi
2022-06-28,06:29:00,loundry,29000,Loundry pakaian berbahan khusus
2022-06-28,12:50:00,makan,42000,Makan malam di restoran
2022-06-28,15:56:00,tagihan,63000,Bayar tagihan telepon rumah
2022-06-29,18:38:00,lain-lain,40000,Transportasi darurat
2022-06-29,20:28:00,tagihan,54000,Bayar tagihan air PDAM
2022-06-29,17:54:00,makan,33000,Beli makanan online lewat aplikasi
2022-06-29,15:36:00,pakaian,62000,Beli topi dan sabuk
2022-06-29,21:54:00,pakaian,67000,Beli kaos dan celana casual
2022-06-30,18:09:00,lain-lain,48000,Biaya penitipan anak
2022-06-30,12:54:00,lain-lain,12000,Biaya penitipan anak
2022-06-30,21:13:00,pulsa,19000,Beli voucher TV kabel
2022-06-30,12:03:00,tagihan,80000,Bayar langganan majalah/koran
2022-07-01,07:37:00,rumah,99000,Beli tirai dan gorden
2022-07-01,17:01:00,rumah,86000,Perbaikan instalasi listrik rumah
2022-07-01,08:55:00,pakaian,58000,Beli baju kerja dan seragam
2022-07-02,18:53:00,pulsa,9000,Beli voucher TV kabel
2022-07-02,19:33:00,tagihan,33000,Bayar tagihan listrik bulanan
2022-07-02,16:05:00,makan,29000,Beli jajanan pasar tradisional
2022-07-02,12:14:00,belanja,76000,Beli souvenir dan hadiah
2022-07-03,10:23:00,pulsa,5000,Isi ulang pulsa telepon
2022-07-03,15:22:00,pajak,85000,Bayar pajak penghasilan
2022-07-03,21:52:00,hiburan,17000,Berlangganan Netflix/Disney+
2022-07-03,11:52:00,makan,28000,Makan malam di restoran
2022-07-04,21:18:00,lain-lain,45000,Biaya tak terduga
2022-07-04,15:45:00,rumah,98000,Perbaikan pipa dan keran air
2022-07-04,17:32:00,tagihan,89000,Bayar tagihan telepon rumah
2022-07-05,14:28:00,asuransi,86000,Bayar premi asuransi usaha
2022-07-05,08:09:00,tagihan,70000,Bayar tagihan TV kabel dan streaming
2022-07-05,20:13:00,hiburan,24000,Main game online berbayar
2022-07-06,21:41:00,pajak,63000,Bayar pajak usaha
2022-07-06,20:01:00,belanja,74000,Belanja kebutuhan dapur
2022-07-06,18:17:00,pajak,96000,Bayar pajak reklame
2022-07-06,21:40:00,kesehatan,34000,Pemeriksaan laboratorium
2022-07-07,06:47:00,tagihan,57000,Bayar tagihan telepon rumah
2022-07-07,09:35:00,makan,37000,Beli nasi bungkus
2022-07-07,20:27:00,pulsa,9000,Beli pulsa untuk perangkat IoT
2022-07-07,13:59:00,asuransi,83000,Bayar premi asuransi kendaraan
2022-07-08,17:24:00,tagihan,93000,Bayar tagihan TV kabel dan streaming
2022-07-08,20:04:00,pajak,57000,Bayar pajak kendaraan pribadi
2022-07-08,21:34:00,pakaian,75000,Beli baju anak-anak
2022-07-08,19:38:00,kesehatan,54000,Pembelian obat flu dan batuk
2022-07-08,17:03:00,pajak,91000,Bayar pajak penghasilan
2022-07-09,18:09:00,asuransi,55000,Biaya administrasi asuransi
2022-07-09,17:33:00,makan,30000,Beli nasi bungkus
2022-07-09,13:56:00,hiburan,34000,Nonton bioskop
2022-07-10,12:08:00,belanja,67000,Belanja kebutuhan rumah tangga
2022-07-10,07:22:00,tagihan,85000,Bayar tagihan air PDAM
2022-07-10,15:24:00,lain-lain,18000,Biaya tak terduga
2022-07-10,06:35:00,pulsa,18000,Top up e-wallet GoPay/Ovo/Dana
2022-07-11,21:38:00,lain-lain,34000,Pembelian alat tulis kantor
2022-07-11,14:09:00,lain-lain,34000,Pembelian souvenir acara keluarga
2022-07-11,19:23:00,pakaian,65000,Beli jaket dan sweater
2022-07-11,16:49:00,tagihan,35000,Bayar langganan majalah/koran
2022-07-12,06:56:00,pakaian,43000,Beli sepatu formal
2022-07-12,18:46:00,tagihan,98000,Bayar tagihan internet dan WiFi
2022-07-12,10:54:00,loundry,16000,Bersihkan karpet rumah
2022-07-13,21:37:00,tagihan,34000,Bayar iuran keamanan lingkungan
2022-07-13,09:12:00,belanja,51000,Belanja perlengkapan mandi
2022-07-13,13:24:00,pajak,79000,Bayar pajak hotel dan restoran
2022-07-13,19:27:00,tagihan,63000,Bayar langganan majalah/koran
2022-07-13,16:27:00,makan,47000,Beli jajanan pasar tradisional
2022-07-14,09:51:00,belanja,72000,Beli alat elektronik kecil
2022-07-14,17:03:00,pajak,54000,Bayar pajak reklame
2022-07-14,17:05:00,makan,19000,Beli makanan online lewat aplikasi
2022-07-14,08:06:00,kesehatan,37000,Cek kesehatan di klinik
2022-07-15,18:09:00,hiburan,28000,Beli buku novel dan komik
2022-07-15,10:10:00,hiburan,10000,Beli tiket konser musik
2022-07-15,13:59:00,asuransi,92000,Pembayaran klaim asuransi
2022-07-15,21:58:00,belanja,24000,Beli pakaian baru
2022-07-16,19:26:00,belanja,50000,Beli pakaian baru
2022-07-16,09:03:00,lain-lain,33000,Donasi bencana alam
2022-07-16,21:13:00,pakaian,59000,Beli baju kerja dan seragam
2022-07-17,09:00:00,hiburan,18000,Langganan majalah hiburan
2022-07-17,16:10:00,belanja,20000,Beli peralatan kebersihan rumah
2022-07-17,15:16:00,asuransi,91000,Perpanjangan asuransi rumah
2022-07-18,16:46:00,tagihan,81000,Bayar biaya parkir dan sampah
2022-07-18,17:27:00,asuransi,64000,Pembayaran klaim asuransi
2022-07-18,21:27:00,tagihan,53000,Bayar iuran keamanan lingkungan
2022-07-18,11:51:00,rumah,69000,Pengecatan rumah dan dinding
