Tanggal,Jam,Jenis,Kategori,Jumlah,Keterangan
2024-02-04,21:36,Pengeluaran,Tagihan,170057,Pengeluaran rutin
2024-02-04,10:28,Pengeluaran,Transportasi,114830,Pengeluaran rutin
2024-02-04,21:46,Pengeluaran,Hiburan,190693,Pengeluaran rutin
2024-02-04,9:44,Pengeluaran,Belanja,146589,Pengeluaran rutin
2024-02-05,9:31,Pemasukan,Gaji,3328470,Gaji bulanan
2024-02-05,21:19,Pengeluaran,Belanja,72150,Pengeluaran rutin
2024-02-05,21:06,Pengeluaran,Hiburan,177825,Pengeluaran rutin
2024-02-05,21:49,Pengeluaran,Hiburan,156374,Pengeluaran rutin
2024-02-06,8:03,Pengeluaran,Makanan,145336,Pengeluaran rutin
2024-02-06,18:57,Pengeluaran,Makanan,118405,Pengeluaran rutin
2024-02-06,8:29,Pengeluaran,Tagihan,104771,Pengeluaran rutin
2024-02-06,10:24,Pengeluaran,Tagihan,53085,Pengeluaran rutin
2024-02-07,11:22,Pengeluaran,Belanja,13322,Pengeluaran rutin
2024-02-07,8:19,Pengeluaran,Transportasi,59195,Pengeluaran rutin
2024-02-07,7:21,Pengeluaran,Transportasi,85799,Pengeluaran rutin
2024-02-07,9:28,Pengeluaran,Tagihan,70144,Pengeluaran rutin
2024-02-08,21:11,Pengeluaran,Makanan,48727,Pengeluaran rutin
2024-02-08,19:14,Pengeluaran,Belanja,30681,Pengeluaran rutin
2024-02-08,13:02,Pengeluaran,Makanan,28741,Pengeluaran rutin
2024-02-08,14:06,Pengeluaran,Tagihan,102540,Pengeluaran rutin
2024-02-09,8:19,Pengeluaran,Transportasi,13390,Pengeluaran rutin
2024-02-09,9:22,Pengeluaran,Hiburan,122795,Pengeluaran rutin
2024-02-09,20:15,Pengeluaran,Belanja,112184,Pengeluaran rutin
2024-02-10,22:35,Pengeluaran,Hiburan,193529,Pengeluaran rutin
2024-02-10,9:42,Pengeluaran,Makanan,13372,Pengeluaran rutin
2024-02-10,18:25,Pengeluaran,Belanja,182156,Pengeluaran rutin
2024-02-10,13:43,Pengeluaran,Makanan,24558,Pengeluaran rutin
2024-02-11,22:53,Pengeluaran,Makanan,151636,Pengeluaran rutin
2024-02-11,20:55,Pengeluaran,Tagihan,119418,Pengeluaran rutin
2024-02-11,13:31,Pengeluaran,Belanja,77959,Pengeluaran rutin
2024-02-12,18:03,Pengeluaran,Belanja,103113,Pengeluaran rutin
2024-02-12,16:33,Pengeluaran,Tagihan,31980,Pengeluaran rutin
2024-02-12,19:58,Pengeluaran,Makanan,16849,Pengeluaran rutin
2024-02-12,12:12,Pengeluaran,Kesehatan,98160,Pengeluaran rutin
2024-02-13,7:56,Pengeluaran,Hiburan,72357,Pengeluaran rutin
2024-02-13,13:07,Pengeluaran,Belanja,135371,Pengeluaran rutin
2024-02-13,12:13,Pengeluaran,Kesehatan,33346,Pengeluaran rutin
2024-02-14,21:13,Pengeluaran,Makanan,61979,Pengeluaran rutin
2024-02-14,13:24,Pengeluaran,Belanja,16367,Pengeluaran rutin
2024-02-14,14:40,Pengeluaran,Makanan,185755,Pengeluaran rutin
2024-02-15,11:14,Pemasukan,Bonus,1090279,Bonus pertengahan bulan
2024-02-15,17:27,Pengeluaran,Transportasi,168249,Pengeluaran rutin
2024-02-15,10:04,Pengeluaran,Transportasi,190472,Pengeluaran rutin
2024-02-15,18:00,Pengeluaran,Tagihan,171150,Pengeluaran rutin
2024-02-16,12:32,Pemasukan,Bonus,685564,Bonus pertengahan bulan
2024-02-16,11:27,Pengeluaran,Kesehatan,160024,Pengeluaran rutin
2024-02-16,10:58,Pengeluaran,Transportasi,177580,Pengeluaran rutin
2024-02-16,11:29,Pengeluaran,Transportasi,22606,Pengeluaran rutin
2024-02-17,12:27,Pemasukan,Bonus,716645,Bonus pertengahan bulan
2024-02-17,11:03,Pengeluaran,Kesehatan,131074,Pengeluaran rutin
2024-02-17,12:35,Pengeluaran,Hiburan,41897,Pengeluaran rutin
2024-02-17,22:39,Pengeluaran,Tagihan,119540,Pengeluaran rutin
2024-02-17,21:08,Pengeluaran,Makanan,11654,Pengeluaran rutin
2024-02-18,11:53,Pemasukan,Bonus,1332057,Bonus pertengahan bulan
2024-02-18,18:57,Pengeluaran,Hiburan,77514,Pengeluaran rutin
2024-02-18,21:29,Pengeluaran,Belanja,144877,Pengeluaran rutin
2024-02-18,22:29,Pengeluaran,Kesehatan,56673,Pengeluaran rutin
2024-02-18,19:48,Pengeluaran,Makanan,20591,Pengeluaran rutin
2024-02-19,11:02,Pemasukan,Bonus,1207703,Bonus pertengahan bulan
2024-02-19,16:13,Pengeluaran,Makanan,166016,Pengeluaran rutin
2024-02-19,17:46,Pengeluaran,Tagihan,139730,Pengeluaran rutin
2024-02-19,19:53,Pengeluaran,Tagihan,197941,Pengeluaran rutin
2024-02-20,12:04,Pemasukan,Bonus,1809171,Bonus pertengahan bulan
2024-02-20,21:29,Pengeluaran,Tagihan,49863,Pengeluaran rutin
2024-02-20,19:51,Pengeluaran,Transportasi,30016,Pengeluaran rutin
2024-02-20,17:00,Pengeluaran,Hiburan,151461,Pengeluaran rutin
2024-02-20,17:55,Pengeluaran,Belanja,88980,Pengeluaran rutin
2024-02-21,18:09,Pengeluaran,Kesehatan,113400,Pengeluaran rutin
2024-02-21,16:26,Pengeluaran,Transportasi,101242,Pengeluaran rutin
2024-02-21,16:40,Pengeluaran,Tagihan,42362,Pengeluaran rutin
2024-02-22,20:16,Pengeluaran,Makanan,82504,Pengeluaran rutin
2024-02-22,7:05,Pengeluaran,Kesehatan,125926,Pengeluaran rutin
2024-02-22,22:51,Pengeluaran,Makanan,112816,Pengeluaran rutin
2024-02-23,15:33,Pengeluaran,Transportasi,27541,Pengeluaran rutin
2024-02-23,8:15,Pengeluaran,Belanja,174051,Pengeluaran rutin
2024-02-23,10:13,Pengeluaran,Kesehatan,99836,Pengeluaran rutin
2024-02-23,17:12,Pengeluaran,Transportasi,75473,Pengeluaran rutin
2024-02-24,10:19,Pengeluaran,Hiburan,162766,Pengeluaran rutin
2024-02-24,15:11,Pengeluaran,Belanja,117756,Pengeluaran rutin
2024-02-24,16:48,Pengeluaran,Belanja,183388,Pengeluaran rutin
2024-02-24,17:08,Pengeluaran,Makanan,75743,Pengeluaran rutin
2024-02-25,20:30,Pengeluaran,Tagihan,128670,Pengeluaran rutin
2024-02-25,19:11,Pengeluaran,Tagihan,34912,Pengeluaran rutin
2024-02-25,10:14,Pengeluaran,Hiburan,51931,Pengeluaran rutin
2024-02-26,22:00,Pengeluaran,Makanan,62692,Pengeluaran rutin
2024-02-26,9:17,Pengeluaran,Transportasi,17990,Pengeluaran rutin
2024-02-26,9:38,Pengeluaran,Kesehatan,125554,Pengeluaran rutin
2024-02-26,15:48,Pengeluaran,Makanan,188414,Pengeluaran rutin
2024-02-27,16:35,Pengeluaran,Kesehatan,23386,Pengeluaran rutin
2024-02-27,10:45,Pengeluaran,Kesehatan,138347,Pengeluaran rutin
2024-02-27,10:45,Pengeluaran,Transportasi,42303,Pengeluaran rutin
2024-02-27,10:54,Pengeluaran,Transportasi,85141,Pengeluaran rutin
2024-02-28,18:41,Pengeluaran,Transportasi,90172,Pengeluaran rutin
2024-02-28,18:57,Pengeluaran,Kesehatan,137298,Pengeluaran rutin
2024-02-28,22:38,Pengeluaran,Belanja,82541,Pengeluaran rutin
2024-02-28,14:28,Pengeluaran,Kesehatan,156597,Pengeluaran rutin
2024-02-29,21:20,Pengeluaran,Hiburan,74188,Pengeluaran rutin
2024-02-29,21:37,Pengeluaran,Belanja,97839,Pengeluaran rutin
2024-02-29,16:33,Pengeluaran,Makanan,189741,Pengeluaran rutin
2024-02-29,16:01,Pengeluaran,Makanan,22868,Pengeluaran rutin
2024-03-01,10:47,Pemasukan,Gaji,3455660,Gaji bulanan
2024-03-01,21:41,Pengeluaran,Belanja,172146,Pengeluaran rutin
2024-03-01,9:31,Pengeluaran,Belanja,196048,Pengeluaran rutin
2024-03-01,7:02,Pengeluaran,Hiburan,157561,Pengeluaran rutin
2024-03-01,20:21,Pengeluaran,Belanja,100884,Pengeluaran rutin
2024-03-02,8:31,Pemasukan,Gaji,2361527,Gaji bulanan
2024-03-02,8:20,Pengeluaran,Belanja,77436,Pengeluaran rutin
2024-03-02,7:00,Pengeluaran,Transportasi,104691,Pengeluaran rutin
2024-03-02,14:15,Pengeluaran,Transportasi,170388,Pengeluaran rutin
2024-03-02,18:21,Pengeluaran,Hiburan,175643,Pengeluaran rutin
2024-03-03,8:18,Pemasukan,Gaji,2292152,Gaji bulanan
2024-03-03,16:38,Pengeluaran,Belanja,116439,Pengeluaran rutin
2024-03-03,20:20,Pengeluaran,Makanan,92804,Pengeluaran rutin
2024-03-03,16:18,Pengeluaran,Belanja,178654,Pengeluaran rutin
2024-03-03,11:24,Pengeluaran,Makanan,25294,Pengeluaran rutin
2024-03-04,10:22,Pemasukan,Gaji,3003104,Gaji bulanan
2024-03-04,19:07,Pengeluaran,Kesehatan,24472,Pengeluaran rutin
2024-03-04,11:58,Pengeluaran,Hiburan,103072,Pengeluaran rutin
2024-03-04,13:06,Pengeluaran,Hiburan,175657,Pengeluaran rutin
2024-03-05,10:13,Pemasukan,Gaji,4006127,Gaji bulanan
2024-03-05,7:56,Pengeluaran,Kesehatan,49608,Pengeluaran rutin
2024-03-05,16:34,Pengeluaran,Hiburan,53649,Pengeluaran rutin
2024-03-05,18:14,Pengeluaran,Belanja,119768,Pengeluaran rutin
2024-03-06,22:05,Pengeluaran,Kesehatan,176331,Pengeluaran rutin
2024-03-06,21:33,Pengeluaran,Kesehatan,158719,Pengeluaran rutin
2024-03-06,11:30,Pengeluaran,Tagihan,29640,Pengeluaran rutin
2024-03-07,14:32,Pengeluaran,Makanan,198425,Pengeluaran rutin
2024-03-07,22:53,Pengeluaran,Kesehatan,112746,Pengeluaran rutin
2024-03-07,13:07,Pengeluaran,Belanja,188012,Pengeluaran rutin
2024-03-08,19:53,Pengeluaran,Hiburan,131496,Pengeluaran rutin
2024-03-08,21:04,Pengeluaran,Kesehatan,163038,Pengeluaran rutin
2024-03-08,11:34,Pengeluaran,Belanja,195464,Pengeluaran rutin
2024-03-08,11:13,Pengeluaran,Hiburan,115296,Pengeluaran rutin
2024-03-09,15:50,Pengeluaran,Hiburan,143021,Pengeluaran rutin
2024-03-09,11:53,Pengeluaran,Belanja,148402,Pengeluaran rutin
2024-03-09,22:50,Pengeluaran,Transportasi,175578,Pengeluaran rutin
2024-03-10,9:29,Pengeluaran,Belanja,155226,Pengeluaran rutin
2024-03-10,9:44,Pengeluaran,Hiburan,93146,Pengeluaran rutin
2024-03-10,19:47,Pengeluaran,Hiburan,89131,Pengeluaran rutin
2024-03-11,19:30,Pengeluaran,Transportasi,113915,Pengeluaran rutin
2024-03-11,19:47,Pengeluaran,Belanja,41940,Pengeluaran rutin
2024-03-11,18:04,Pengeluaran,Makanan,106370,Pengeluaran rutin
2024-03-11,20:47,Pengeluaran,Transportasi,100856,Pengeluaran rutin
2024-03-12,11:15,Pengeluaran,Kesehatan,54985,Pengeluaran rutin
2024-03-12,20:23,Pengeluaran,Hiburan,97943,Pengeluaran rutin
2024-03-12,14:12,Pengeluaran,Tagihan,10406,Pengeluaran rutin
2024-03-13,19:14,Pengeluaran,Hiburan,65622,Pengeluaran rutin
2024-03-13,20:59,Pengeluaran,Makanan,122115,Pengeluaran rutin
2024-03-13,21:49,Pengeluaran,Transportasi,138526,Pengeluaran rutin
2024-03-13,9:15,Pengeluaran,Hiburan,20192,Pengeluaran rutin
2024-03-14,18:47,Pengeluaran,Makanan,42815,Pengeluaran rutin
2024-03-14,9:59,Pengeluaran,Makanan,117608,Pengeluaran rutin
2024-03-14,17:13,Pengeluaran,Tagihan,21302,Pengeluaran rutin
2024-03-15,12:14,Pemasukan,Bonus,1257030,Bonus pertengahan bulan
2024-03-15,10:54,Pengeluaran,Makanan,84334,Pengeluaran rutin
2024-03-15,9:07,Pengeluaran,Tagihan,187920,Pengeluaran rutin
2024-03-15,18:55,Pengeluaran,Hiburan,66619,Pengeluaran rutin
2024-03-16,11:50,Pemasukan,Bonus,1292016,Bonus pertengahan bulan
2024-03-16,12:18,Pengeluaran,Makanan,127046,Pengeluaran rutin
2024-03-16,20:02,Pengeluaran,Kesehatan,42804,Pengeluaran rutin
2024-03-16,11:48,Pengeluaran,Tagihan,84672,Pengeluaran rutin
2024-03-17,10:27,Pemasukan,Bonus,551426,Bonus pertengahan bulan
2024-03-17,17:10,Pengeluaran,Tagihan,57378,Pengeluaran rutin
2024-03-17,14:26,Pengeluaran,Transportasi,189695,Pengeluaran rutin
2024-03-17,19:17,Pengeluaran,Makanan,63386,Pengeluaran rutin
2024-03-17,22:06,Pengeluaran,Tagihan,157902,Pengeluaran rutin
2024-03-18,12:53,Pemasukan,Bonus,853059,Bonus pertengahan bulan
2024-03-18,16:42,Pengeluaran,Transportasi,26976,Pengeluaran rutin
2024-03-18,20:38,Pengeluaran,Transportasi,66093,Pengeluaran rutin
2024-03-18,7:30,Pengeluaran,Kesehatan,128435,Pengeluaran rutin
2024-03-18,16:33,Pengeluaran,Tagihan,175932,Pengeluaran rutin
2024-03-19,11:11,Pemasukan,Bonus,1852945,Bonus pertengahan bulan
2024-03-19,20:17,Pengeluaran,Hiburan,88512,Pengeluaran rutin
2024-03-19,21:12,Pengeluaran,Hiburan,27792,Pengeluaran rutin
2024-03-19,22:55,Pengeluaran,Transportasi,25436,Pengeluaran rutin
2024-03-20,10:36,Pemasukan,Bonus,1703354,Bonus pertengahan bulan
2024-03-20,9:15,Pengeluaran,Transportasi,35557,Pengeluaran rutin
2024-03-20,21:24,Pengeluaran,Makanan,178764,Pengeluaran rutin
2024-03-20,10:19,Pengeluaran,Hiburan,180770,Pengeluaran rutin
2024-03-21,10:45,Pengeluaran,Kesehatan,46044,Pengeluaran rutin
2024-03-21,12:43,Pengeluaran,Hiburan,196961,Pengeluaran rutin
2024-03-21,9:16,Pengeluaran,Belanja,134297,Pengeluaran rutin
2024-03-22,9:04,Pengeluaran,Tagihan,162901,Pengeluaran rutin
2024-03-22,19:33,Pengeluaran,Hiburan,66508,Pengeluaran rutin
2024-03-22,16:31,Pengeluaran,Makanan,134284,Pengeluaran rutin
2024-03-23,9:43,Pengeluaran,Belanja,155600,Pengeluaran rutin
2024-03-23,21:36,Pengeluaran,Transportasi,167830,Pengeluaran rutin
2024-03-23,7:45,Pengeluaran,Hiburan,135802,Pengeluaran rutin
2024-03-24,18:15,Pengeluaran,Hiburan,63099,Pengeluaran rutin
2024-03-24,19:36,Pengeluaran,Transportasi,134937,Pengeluaran rutin
2024-03-24,8:02,Pengeluaran,Hiburan,28924,Pengeluaran rutin
2024-03-24,21:39,Pengeluaran,Transportasi,122037,Pengeluaran rutin
2024-03-25,21:43,Pengeluaran,Hiburan,109529,Pengeluaran rutin
2024-03-25,13:20,Pengeluaran,Tagihan,83539,Pengeluaran rutin
2024-03-25,22:40,Pengeluaran,Belanja,75562,Pengeluaran rutin
2024-03-25,10:49,Pengeluaran,Makanan,53604,Pengeluaran rutin
2024-03-26,13:42,Pengeluaran,Tagihan,190793,Pengeluaran rutin
2024-03-26,22:23,Pengeluaran,Belanja,54871,Pengeluaran rutin
2024-03-26,22:50,Pengeluaran,Belanja,184715,Pengeluaran rutin
2024-03-27,11:03,Pengeluaran,Tagihan,48533,Pengeluaran rutin
2024-03-27,17:33,Pengeluaran,Makanan,168559,Pengeluaran rutin
2024-03-27,8:41,Pengeluaran,Makanan,11894,Pengeluaran rutin
2024-03-27,13:48,Pengeluaran,Makanan,77489,Pengeluaran rutin
2024-03-28,10:01,Pengeluaran,Hiburan,14913,Pengeluaran rutin
2024-03-28,8:45,Pengeluaran,Belanja,163043,Pengeluaran rutin
2024-03-28,18:02,Pengeluaran,Makanan,173949,Pengeluaran rutin
2024-03-29,17:20,Pengeluaran,Hiburan,39172,Pengeluaran rutin
2024-03-29,10:05,Pengeluaran,Kesehatan,19524,Pengeluaran rutin
2024-03-29,13:52,Pengeluaran,Tagihan,10148,Pengeluaran rutin
2024-03-30,18:59,Pengeluaran,Tagihan,62893,Pengeluaran rutin
2024-03-30,17:23,Pengeluaran,Tagihan,53148,Pengeluaran rutin
2024-03-30,17:45,Pengeluaran,Transportasi,109302,Pengeluaran rutin
2024-03-31,14:28,Pengeluaran,Tagihan,54785,Pengeluaran rutin
2024-03-31,17:47,Pengeluaran,Makanan,119772,Pengeluaran rutin
2024-03-31,19:08,Pengeluaran,Tagihan,118291,Pengeluaran rutin
