Tanggal,Jam,Jenis,Kategori,Jumlah,Keterangan
2023-01-21,8:13,Pengeluaran,Makan Pagi,23000,Makan rutin
2023-01-21,8:40,Pengeluaran,Transportasi Umum,27000,Transportasi alternatif
2023-01-21,12:49,Pengeluaran,Rekreasi,221000,Jalan-jalan weekend
2023-01-21,13:53,Pengeluaran,Makan Siang,28000,Makan rutin
2023-01-21,19:28,Pengeluaran,Makan Malam,26000,Makan rutin
2023-01-22,7:58,Pengeluaran,Makan Pagi,15000,Makan rutin
2023-01-22,13:45,Pengeluaran,Makan Siang,27000,Makan rutin
2023-01-22,18:40,Pengeluaran,Makan Malam,22000,Makan rutin
2023-01-23,6:51,Pengeluaran,Makan Pagi,17000,Makan rutin
2023-01-23,9:17,Pengeluaran,Bensin,59000,Pengisian bensin mingguan
2023-01-23,12:29,Pengeluaran,Makan Siang,19000,Makan rutin
2023-01-23,19:08,Pengeluaran,Makan Malam,17000,Makan rutin
2023-01-24,7:31,Pengeluaran,Makan Pagi,25000,Makan rutin
2023-01-24,12:35,Pengeluaran,Makan Siang,16000,Makan rutin
2023-01-24,18:45,Pengeluaran,Makan Malam,19000,Makan rutin
2023-01-25,8:03,Pengeluaran,Makan Pagi,22000,Makan rutin
2023-01-25,13:02,Pengeluaran,Makan Siang,26000,Makan rutin
2023-01-25,18:18,Pengeluaran,Makan Malam,17000,Makan rutin
2023-01-26,7:54,Pengeluaran,Makan Pagi,19000,Makan rutin
2023-01-26,12:51,Pengeluaran,Makan Siang,18000,Makan rutin
2023-01-26,18:39,Pengeluaran,Makan Malam,26000,Makan rutin
2023-01-27,6:44,Pengeluaran,Makan Pagi,21000,Makan rutin
2023-01-27,11:41,Pengeluaran,Makan Siang,28000,Makan rutin
2023-01-27,18:32,Pengeluaran,Makan Malam,15000,Makan rutin
2023-01-28,6:53,Pengeluaran,Makan Pagi,15000,Makan rutin
2023-01-28,12:01,Pengeluaran,Makan Siang,28000,Makan rutin
2023-01-28,18:40,Pengeluaran,Makan Malam,24000,Makan rutin
2023-01-29,6:50,Pengeluaran,Makan Pagi,24000,Makan rutin
2023-01-29,13:26,Pengeluaran,Makan Siang,21000,Makan rutin
2023-01-29,20:43,Pengeluaran,Makan Malam,28000,Makan rutin
2023-01-30,8:13,Pengeluaran,Makan Pagi,28000,Makan rutin
2023-01-30,9:22,Pengeluaran,Bensin,61000,Pengisian bensin mingguan
2023-01-30,13:47,Pengeluaran,Makan Siang,29000,Makan rutin
2023-01-30,20:00,Pengeluaran,Makan Malam,27000,Makan rutin
2023-01-31,7:45,Pengeluaran,Makan Pagi,18000,Makan rutin
2023-01-31,12:00,Pengeluaran,Makan Siang,19000,Makan rutin
2023-01-31,18:32,Pengeluaran,Makan Malam,15000,Makan rutin
2023-02-01,8:36,Pengeluaran,Makan Pagi,28000,Makan rutin
2023-02-01,10:40,Pemasukan,Gaji,4000000,Gaji bulanan
2023-02-01,13:00,Pengeluaran,Makan Siang,19000,Makan rutin
2023-02-01,19:15,Pengeluaran,Belanja Bulanan,498000,Belanja kebutuhan bulanan
2023-02-01,20:33,Pengeluaran,Makan Malam,26000,Makan rutin
2023-02-02,7:46,Pengeluaran,Makan Pagi,28000,Makan rutin
2023-02-02,12:06,Pengeluaran,Makan Siang,16000,Makan rutin
2023-02-02,19:31,Pengeluaran,Makan Malam,26000,Makan rutin
2023-02-03,6:30,Pengeluaran,Makan Pagi,28000,Makan rutin
2023-02-03,11:31,Pengeluaran,Makan Siang,24000,Makan rutin
2023-02-03,18:51,Pengeluaran,Makan Malam,28000,Makan rutin
2023-02-04,6:06,Pengeluaran,Makan Pagi,21000,Makan rutin
2023-02-04,11:40,Pengeluaran,Makan Siang,17000,Makan rutin
2023-02-04,18:31,Pengeluaran,Makan Malam,28000,Makan rutin
2023-02-05,8:35,Pengeluaran,Makan Pagi,20000,Makan rutin
2023-02-05,11:56,Pengeluaran,Makan Siang,15000,Makan rutin
2023-02-05,12:34,Pengeluaran,Listrik Kos,249000,Tagihan listrik kos
2023-02-05,19:03,Pengeluaran,Makan Malam,29000,Makan rutin
2023-02-06,6:43,Pengeluaran,Makan Pagi,26000,Makan rutin
2023-02-06,9:48,Pengeluaran,Bensin,51000,Pengisian bensin mingguan
2023-02-06,11:00,Pengeluaran,Makan Siang,25000,Makan rutin
2023-02-06,19:14,Pengeluaran,Makan Malam,16000,Makan rutin
2023-02-07,7:16,Pengeluaran,Makan Pagi,25000,Makan rutin
2023-02-07,11:40,Pengeluaran,Makan Siang,18000,Makan rutin
2023-02-07,18:43,Pengeluaran,Makan Malam,28000,Makan rutin
2023-02-08,6:07,Pengeluaran,Makan Pagi,24000,Makan rutin
2023-02-08,13:43,Pengeluaran,Makan Siang,22000,Makan rutin
2023-02-08,20:54,Pengeluaran,Makan Malam,21000,Makan rutin
2023-02-09,8:34,Pengeluaran,Makan Pagi,27000,Makan rutin
2023-02-09,12:35,Pengeluaran,Makan Siang,23000,Makan rutin
2023-02-09,18:35,Pengeluaran,Makan Malam,26000,Makan rutin
2023-02-10,6:55,Pengeluaran,Makan Pagi,25000,Makan rutin
2023-02-10,13:47,Pengeluaran,Makan Siang,27000,Makan rutin
2023-02-10,19:00,Pengeluaran,Makan Malam,20000,Makan rutin
2023-02-11,6:39,Pengeluaran,Makan Pagi,22000,Makan rutin
2023-02-11,13:38,Pengeluaran,Makan Siang,24000,Makan rutin
2023-02-11,14:47,Pengeluaran,Rekreasi,219000,Jalan-jalan weekend
2023-02-11,18:51,Pengeluaran,Makan Malam,18000,Makan rutin
2023-02-12,8:11,Pengeluaran,Makan Pagi,20000,Makan rutin
2023-02-12,13:24,Pengeluaran,Makan Siang,25000,Makan rutin
2023-02-12,20:25,Pengeluaran,Makan Malam,23000,Makan rutin
2023-02-13,8:47,Pengeluaran,Makan Pagi,20000,Makan rutin
2023-02-13,9:35,Pengeluaran,Bensin,60000,Pengisian bensin mingguan
2023-02-13,13:05,Pengeluaran,Makan Siang,19000,Makan rutin
2023-02-13,18:17,Pengeluaran,Makan Malam,19000,Makan rutin
2023-02-14,8:26,Pengeluaran,Makan Pagi,16000,Makan rutin
2023-02-14,11:21,Pengeluaran,Makan Siang,16000,Makan rutin
2023-02-14,20:53,Pengeluaran,Makan Malam,22000,Makan rutin
2023-02-15,6:09,Pengeluaran,Makan Pagi,28000,Makan rutin
2023-02-15,11:49,Pengeluaran,Makan Siang,19000,Makan rutin
2023-02-15,18:17,Pengeluaran,Makan Malam,28000,Makan rutin
2023-02-16,7:22,Pengeluaran,Makan Pagi,21000,Makan rutin
2023-02-16,12:07,Pengeluaran,Makan Siang,18000,Makan rutin
2023-02-16,20:41,Pengeluaran,Makan Malam,18000,Makan rutin
2023-02-17,8:19,Pengeluaran,Makan Pagi,22000,Makan rutin
2023-02-17,11:52,Pengeluaran,Makan Siang,28000,Makan rutin
2023-02-17,19:08,Pengeluaran,Makan Malam,26000,Makan rutin
2023-02-18,8:52,Pengeluaran,Makan Pagi,24000,Makan rutin
2023-02-18,12:47,Pengeluaran,Makan Siang,22000,Makan rutin
2023-02-18,13:34,Pengeluaran,Rekreasi,247000,Jalan-jalan weekend
2023-02-18,18:37,Pengeluaran,Makan Malam,29000,Makan rutin
2023-02-19,6:25,Pengeluaran,Makan Pagi,28000,Makan rutin
2023-02-19,13:56,Pengeluaran,Makan Siang,29000,Makan rutin
2023-02-19,18:47,Pengeluaran,Makan Malam,22000,Makan rutin
2023-02-20,6:18,Pengeluaran,Makan Pagi,17000,Makan rutin
2023-02-20,11:32,Pengeluaran,Bensin,52000,Pengisian bensin mingguan
2023-02-20,13:53,Pengeluaran,Makan Siang,20000,Makan rutin
2023-02-20,18:12,Pengeluaran,Makan Malam,19000,Makan rutin
2023-02-21,7:38,Pengeluaran,Makan Pagi,24000,Makan rutin
2023-02-21,13:09,Pengeluaran,Makan Siang,16000,Makan rutin
2023-02-21,19:52,Pengeluaran,Makan Malam,16000,Makan rutin
2023-02-22,6:27,Pengeluaran,Makan Pagi,21000,Makan rutin
2023-02-22,12:11,Pengeluaran,Makan Siang,29000,Makan rutin
2023-02-22,18:51,Pengeluaran,Makan Malam,18000,Makan rutin
2023-02-23,6:19,Pengeluaran,Makan Pagi,26000,Makan rutin
2023-02-23,13:11,Pengeluaran,Makan Siang,23000,Makan rutin
2023-02-23,19:17,Pengeluaran,Makan Malam,18000,Makan rutin
2023-02-24,6:37,Pengeluaran,Makan Pagi,18000,Makan rutin
2023-02-24,13:30,Pengeluaran,Makan Siang,23000,Makan rutin
2023-02-24,18:23,Pengeluaran,Makan Malam,16000,Makan rutin
2023-02-25,8:57,Pengeluaran,Makan Pagi,23000,Makan rutin
2023-02-25,9:30,Pengeluaran,Transportasi Umum,25000,Transportasi alternatif
2023-02-25,12:00,Pengeluaran,Makan Siang,17000,Makan rutin
2023-02-25,19:04,Pengeluaran,Makan Malam,19000,Makan rutin
2023-02-26,8:15,Pengeluaran,Makan Pagi,21000,Makan rutin
2023-02-26,12:01,Pengeluaran,Makan Siang,29000,Makan rutin
2023-02-26,19:09,Pengeluaran,Makan Malam,17000,Makan rutin
2023-02-27,6:40,Pengeluaran,Makan Pagi,28000,Makan rutin
2023-02-27,7:04,Pengeluaran,Transportasi Umum,19000,Transportasi alternatif
2023-02-27,9:32,Pengeluaran,Bensin,68000,Pengisian bensin mingguan
2023-02-27,12:30,Pengeluaran,Makan Siang,18000,Makan rutin
2023-02-27,20:29,Pengeluaran,Makan Malam,16000,Makan rutin
2023-02-28,6:23,Pengeluaran,Makan Pagi,26000,Makan rutin
2023-02-28,13:12,Pengeluaran,Makan Siang,23000,Makan rutin
2023-02-28,20:57,Pengeluaran,Makan Malam,22000,Makan rutin
2023-03-01,6:02,Pengeluaran,Makan Pagi,22000,Makan rutin
2023-03-01,8:10,Pemasukan,Gaji,4000000,Gaji bulanan
2023-03-01,13:31,Pengeluaran,Makan Siang,22000,Makan rutin
2023-03-01,18:30,Pengeluaran,Makan Malam,25000,Makan rutin
2023-03-01,19:46,Pengeluaran,Belanja Bulanan,349000,Belanja kebutuhan bulanan
2023-03-02,6:59,Pengeluaran,Makan Pagi,28000,Makan rutin
2023-03-02,12:55,Pengeluaran,Makan Siang,16000,Makan rutin
2023-03-02,20:25,Pengeluaran,Makan Malam,29000,Makan rutin
2023-03-03,8:42,Pengeluaran,Makan Pagi,15000,Makan rutin
2023-03-03,9:53,Pengeluaran,Transportasi Umum,26000,Transportasi alternatif
2023-03-03,13:13,Pengeluaran,Makan Siang,26000,Makan rutin
2023-03-03,19:04,Pengeluaran,Makan Malam,21000,Makan rutin
2023-03-04,8:19,Pengeluaran,Makan Pagi,21000,Makan rutin
2023-03-04,13:23,Pengeluaran,Makan Siang,25000,Makan rutin
2023-03-04,20:23,Pengeluaran,Makan Malam,21000,Makan rutin
2023-03-05,8:57,Pengeluaran,Makan Pagi,26000,Makan rutin
2023-03-05,10:43,Pengeluaran,Listrik Kos,230000,Tagihan listrik kos
2023-03-05,12:28,Pengeluaran,Makan Siang,29000,Makan rutin
2023-03-05,20:07,Pengeluaran,Makan Malam,23000,Makan rutin
2023-03-06,6:52,Pengeluaran,Makan Pagi,19000,Makan rutin
2023-03-06,9:33,Pengeluaran,Bensin,69000,Pengisian bensin mingguan
2023-03-06,12:22,Pengeluaran,Makan Siang,21000,Makan rutin
2023-03-06,18:00,Pengeluaran,Makan Malam,15000,Makan rutin
2023-03-07,7:08,Pengeluaran,Makan Pagi,25000,Makan rutin
2023-03-07,13:01,Pengeluaran,Makan Siang,21000,Makan rutin
2023-03-07,19:26,Pengeluaran,Makan Malam,20000,Makan rutin
2023-03-08,6:51,Pengeluaran,Makan Pagi,15000,Makan rutin
2023-03-08,12:15,Pengeluaran,Makan Siang,25000,Makan rutin
2023-03-08,20:25,Pengeluaran,Makan Malam,22000,Makan rutin
2023-03-09,7:57,Pengeluaran,Makan Pagi,18000,Makan rutin
2023-03-09,9:16,Pengeluaran,Transportasi Umum,20000,Transportasi alternatif
2023-03-09,13:26,Pengeluaran,Makan Siang,16000,Makan rutin
2023-03-09,20:59,Pengeluaran,Makan Malam,21000,Makan rutin
2023-03-10,6:02,Pengeluaran,Makan Pagi,22000,Makan rutin
2023-03-10,8:42,Pengeluaran,Transportasi Umum,21000,Transportasi alternatif
2023-03-10,13:47,Pengeluaran,Makan Siang,19000,Makan rutin
2023-03-10,18:53,Pengeluaran,Makan Malam,23000,Makan rutin
2023-03-11,7:17,Pengeluaran,Makan Pagi,26000,Makan rutin
2023-03-11,12:53,Pengeluaran,Makan Siang,26000,Makan rutin
2023-03-11,19:37,Pengeluaran,Makan Malam,15000,Makan rutin
2023-03-12,8:44,Pengeluaran,Makan Pagi,21000,Makan rutin
2023-03-12,13:18,Pengeluaran,Makan Siang,25000,Makan rutin
2023-03-12,18:38,Pengeluaran,Makan Malam,25000,Makan rutin
2023-03-13,7:44,Pengeluaran,Makan Pagi,21000,Makan rutin
2023-03-13,11:30,Pengeluaran,Makan Siang,18000,Makan rutin
2023-03-13,11:30,Pengeluaran,Bensin,68000,Pengisian bensin mingguan
2023-03-13,20:02,Pengeluaran,Makan Malam,15000,Makan rutin
2023-03-14,6:09,Pengeluaran,Makan Pagi,24000,Makan rutin
2023-03-14,12:08,Pengeluaran,Makan Siang,18000,Makan rutin
2023-03-14,19:31,Pengeluaran,Makan Malam,23000,Makan rutin
2023-03-15,8:04,Pengeluaran,Makan Pagi,26000,Makan rutin
2023-03-15,13:03,Pengeluaran,Makan Siang,25000,Makan rutin
2023-03-15,19:11,Pengeluaran,Makan Malam,15000,Makan rutin
2023-03-16,6:01,Pengeluaran,Makan Pagi,17000,Makan rutin
2023-03-16,13:38,Pengeluaran,Makan Siang,26000,Makan rutin
2023-03-16,18:04,Pengeluaran,Makan Malam,15000,Makan rutin
2023-03-17,8:30,Pengeluaran,Makan Pagi,26000,Makan rutin
2023-03-17,11:18,Pengeluaran,Makan Siang,27000,Makan rutin
2023-03-17,19:51,Pengeluaran,Makan Malam,26000,Makan rutin
2023-03-18,8:08,Pengeluaran,Makan Pagi,16000,Makan rutin
2023-03-18,10:45,Pengeluaran,Rekreasi,293000,Jalan-jalan weekend
2023-03-18,12:19,Pengeluaran,Makan Siang,25000,Makan rutin
2023-03-18,20:35,Pengeluaran,Makan Malam,15000,Makan rutin
2023-03-19,6:49,Pengeluaran,Makan Pagi,24000,Makan rutin
2023-03-19,12:35,Pengeluaran,Makan Siang,24000,Makan rutin
2023-03-19,20:39,Pengeluaran,Makan Malam,15000,Makan rutin
2023-03-20,8:17,Pengeluaran,Makan Pagi,20000,Makan rutin
2023-03-20,9:38,Pengeluaran,Bensin,57000,Pengisian bensin mingguan
2023-03-20,12:01,Pengeluaran,Makan Siang,20000,Makan rutin
2023-03-20,20:50,Pengeluaran,Makan Malam,23000,Makan rutin
2023-03-21,8:19,Pengeluaran,Makan Pagi,18000,Makan rutin
2023-03-21,13:45,Pengeluaran,Makan Siang,26000,Makan rutin
2023-03-21,18:08,Pengeluaran,Makan Malam,28000,Makan rutin
2023-03-22,6:24,Pengeluaran,Makan Pagi,25000,Makan rutin
2023-03-22,13:00,Pengeluaran,Makan Siang,24000,Makan rutin
2023-03-22,18:29,Pengeluaran,Makan Malam,26000,Makan rutin
2023-03-23,8:21,Pengeluaran,Makan Pagi,16000,Makan rutin
2023-03-23,13:55,Pengeluaran,Makan Siang,22000,Makan rutin
2023-03-23,18:31,Pengeluaran,Makan Malam,19000,Makan rutin
2023-03-24,7:30,Pengeluaran,Makan Pagi,28000,Makan rutin
2023-03-24,7:41,Pengeluaran,Transportasi Umum,25000,Transportasi alternatif
2023-03-24,12:43,Pengeluaran,Makan Siang,28000,Makan rutin
2023-03-24,19:14,Pengeluaran,Makan Malam,25000,Makan rutin
2023-03-25,8:48,Pengeluaran,Makan Pagi,27000,Makan rutin
2023-03-25,13:11,Pengeluaran,Makan Siang,26000,Makan rutin
2023-03-25,13:36,Pengeluaran,Rekreasi,238000,Jalan-jalan weekend
2023-03-25,20:26,Pengeluaran,Makan Malam,18000,Makan rutin
2023-03-26,7:01,Pengeluaran,Makan Pagi,15000,Makan rutin
2023-03-26,12:12,Pengeluaran,Rekreasi,256000,Jalan-jalan weekend
2023-03-26,12:18,Pengeluaran,Makan Siang,26000,Makan rutin
2023-03-26,18:08,Pengeluaran,Makan Malam,27000,Makan rutin
2023-03-27,8:35,Pengeluaran,Makan Pagi,27000,Makan rutin
2023-03-27,9:00,Pengeluaran,Transportasi Umum,29000,Transportasi alternatif
2023-03-27,10:02,Pengeluaran,Bensin,52000,Pengisian bensin mingguan
2023-03-27,11:48,Pengeluaran,Makan Siang,26000,Makan rutin
2023-03-27,19:19,Pengeluaran,Makan Malam,19000,Makan rutin
2023-03-28,7:36,Pengeluaran,Makan Pagi,21000,Makan rutin
2023-03-28,11:34,Pengeluaran,Makan Siang,27000,Makan rutin
2023-03-28,20:52,Pengeluaran,Makan Malam,26000,Makan rutin
2023-03-29,8:14,Pengeluaran,Makan Pagi,17000,Makan rutin
2023-03-29,11:33,Pengeluaran,Makan Siang,22000,Makan rutin
2023-03-29,18:55,Pengeluaran,Makan Malam,23000,Makan rutin
2023-03-30,8:13,Pengeluaran,Makan Pagi,27000,Makan rutin
2023-03-30,12:13,Pengeluaran,Makan Siang,26000,Makan rutin
2023-03-30,18:37,Pengeluaran,Makan Malam,27000,Makan rutin
2023-03-31,6:33,Pengeluaran,Makan Pagi,17000,Makan rutin
2023-03-31,13:45,Pengeluaran,Makan Siang,22000,Makan rutin
2023-03-31,20:55,Pengeluaran,Makan Malam,18000,Makan rutin
2023-04-01,8:21,Pemasukan,Gaji,4000000,Gaji bulanan
2023-04-01,8:27,Pengeluaran,Makan Pagi,29000,Makan rutin
2023-04-01,12:00,Pengeluaran,Makan Siang,27000,Makan rutin
2023-04-01,12:55,Pengeluaran,Rekreasi,197000,Jalan-jalan weekend
2023-04-01,17:44,Pengeluaran,Belanja Bulanan,390000,Belanja kebutuhan bulanan
2023-04-01,18:35,Pengeluaran,Makan Malam,29000,Makan rutin
2023-04-02,8:34,Pengeluaran,Makan Pagi,23000,Makan rutin
2023-04-02,11:24,Pengeluaran,Rekreasi,132000,Jalan-jalan weekend
2023-04-02,13:39,Pengeluaran,Makan Siang,25000,Makan rutin
2023-04-02,20:55,Pengeluaran,Makan Malam,18000,Makan rutin
2023-04-03,6:26,Pengeluaran,Makan Pagi,15000,Makan rutin
2023-04-03,11:30,Pengeluaran,Bensin,62000,Pengisian bensin mingguan
2023-04-03,13:39,Pengeluaran,Makan Siang,15000,Makan rutin
2023-04-03,19:19,Pengeluaran,Makan Malam,17000,Makan rutin
2023-04-04,7:04,Pengeluaran,Transportasi Umum,22000,Transportasi alternatif
2023-04-04,7:39,Pengeluaran,Makan Pagi,23000,Makan rutin
2023-04-04,13:25,Pengeluaran,Makan Siang,23000,Makan rutin
2023-04-04,19:10,Pengeluaran,Makan Malam,25000,Makan rutin
2023-04-05,7:39,Pengeluaran,Makan Pagi,17000,Makan rutin
2023-04-05,10:12,Pengeluaran,Listrik Kos,211000,Tagihan listrik kos
2023-04-05,13:27,Pengeluaran,Makan Siang,16000,Makan rutin
2023-04-05,20:33,Pengeluaran,Makan Malam,17000,Makan rutin
2023-04-06,7:42,Pengeluaran,Makan Pagi,29000,Makan rutin
2023-04-06,13:20,Pengeluaran,Makan Siang,23000,Makan rutin
2023-04-06,19:12,Pengeluaran,Makan Malam,27000,Makan rutin
2023-04-07,8:03,Pengeluaran,Makan Pagi,18000,Makan rutin
2023-04-07,11:44,Pengeluaran,Makan Siang,28000,Makan rutin
2023-04-07,18:58,Pengeluaran,Makan Malam,19000,Makan rutin
2023-04-08,7:21,Pengeluaran,Makan Pagi,29000,Makan rutin
2023-04-08,7:46,Pengeluaran,Transportasi Umum,12000,Transportasi alternatif
2023-04-08,13:07,Pengeluaran,Makan Siang,15000,Makan rutin
2023-04-08,19:31,Pengeluaran,Makan Malam,20000,Makan rutin
2023-04-09,6:23,Pengeluaran,Makan Pagi,28000,Makan rutin
2023-04-09,13:57,Pengeluaran,Makan Siang,23000,Makan rutin
2023-04-09,20:35,Pengeluaran,Makan Malam,16000,Makan rutin
2023-04-10,8:21,Pengeluaran,Makan Pagi,26000,Makan rutin
2023-04-10,11:24,Pengeluaran,Bensin,54000,Pengisian bensin mingguan
2023-04-10,13:15,Pengeluaran,Makan Siang,23000,Makan rutin
2023-04-10,20:38,Pengeluaran,Makan Malam,22000,Makan rutin
2023-04-11,8:26,Pengeluaran,Makan Pagi,21000,Makan rutin
2023-04-11,13:27,Pengeluaran,Makan Siang,18000,Makan rutin
2023-04-11,18:00,Pengeluaran,Makan Malam,28000,Makan rutin
2023-04-12,8:11,Pengeluaran,Makan Pagi,19000,Makan rutin
2023-04-12,13:54,Pengeluaran,Makan Siang,20000,Makan rutin
2023-04-12,18:19,Pengeluaran,Makan Malam,28000,Makan rutin
2023-04-13,6:44,Pengeluaran,Makan Pagi,15000,Makan rutin
2023-04-13,13:06,Pengeluaran,Makan Siang,16000,Makan rutin
2023-04-13,20:48,Pengeluaran,Makan Malam,19000,Makan rutin
2023-04-14,6:12,Pengeluaran,Makan Pagi,19000,Makan rutin
2023-04-14,11:21,Pengeluaran,Makan Siang,27000,Makan rutin
2023-04-14,18:31,Pengeluaran,Makan Malam,20000,Makan rutin
2023-04-15,7:41,Pengeluaran,Makan Pagi,25000,Makan rutin
2023-04-15,12:01,Pengeluaran,Makan Siang,25000,Makan rutin
2023-04-15,18:00,Pengeluaran,Makan Malam,24000,Makan rutin
2023-04-16,8:10,Pengeluaran,Makan Pagi,20000,Makan rutin
2023-04-16,12:14,Pengeluaran,Makan Siang,20000,Makan rutin
2023-04-16,20:47,Pengeluaran,Makan Malam,17000,Makan rutin
2023-04-17,8:13,Pengeluaran,Makan Pagi,20000,Makan rutin
2023-04-17,11:05,Pengeluaran,Bensin,59000,Pengisian bensin mingguan
2023-04-17,13:09,Pengeluaran,Makan Siang,21000,Makan rutin
2023-04-17,18:46,Pengeluaran,Makan Malam,15000,Makan rutin
2023-04-18,7:38,Pengeluaran,Makan Pagi,16000,Makan rutin
2023-04-18,13:10,Pengeluaran,Makan Siang,24000,Makan rutin
2023-04-18,19:09,Pengeluaran,Makan Malam,23000,Makan rutin
2023-04-19,6:45,Pengeluaran,Makan Pagi,19000,Makan rutin
2023-04-19,11:09,Pengeluaran,Makan Siang,27000,Makan rutin
