Year,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),cluster,Country,Food Category
2022.9999999999998,29848.3,27362.18,47.81999999999999,1131.8,49.97,2,South Korea,Frozen Food
2024.0,39420.56,34541.01,65.63000000000001,513.73,56.49,2,Brazil,Grains & Cereals
2024.0,37292.94,35268.41,80.6,619.76,57.0,2,Brazil,Prepared Food
2019.9999999999998,44797.11,41233.8,64.74,1234.63,65.69,1,Japan,Beverages
2022.9999999999998,40398.07,48103.94,177.95,367.79,32.26,2,Japan,Bakery Items
2019.9999999999998,13679.639999999998,14249.79,182.75,776.16,51.14,0,Russia,Dairy Products
2024.0,11766.79,11890.12,21.26,84.69,37.22,0,China,Frozen Food
2021.0,24444.03,26615.82,123.83,303.78,60.73,0,Argentina,Meat & Seafood
2019.0,15476.91,13087.99,176.5,1335.8,36.7,0,Russia,Bakery Items
2018.0,2751.15,2310.76,52.39,622.92,51.0,0,Saudi Arabia,Frozen Food
2024.0,20238.65,18395.86,22.639999999999997,467.6,50.9,0,Italy,Fruits & Vegetables
2022.0,8731.68,10040.12,63.83,543.41,42.96,0,USA,Dairy Products
2022.9999999999998,23609.83,25520.57,152.21,272.87,66.14,2,UK,Grains & Cereals
2024.0,38427.68,31258.66,92.89,952.2299999999999,40.69,2,South Korea,Grains & Cereals
2022.9999999999998,33550.41,32946.48,193.85,1333.3,55.02,2,Germany,Bakery Items
2019.9999999999998,45243.85,37828.94,47.21000000000001,559.57,50.34,1,Australia,Beverages
2022.9999999999998,30022.09,24487.08,92.63999999999999,1278.03,54.63,2,UK,Meat & Seafood
2019.0,49481.61,51126.24,95.46,1281.78,59.3,1,Argentina,Prepared Food
2022.0,13313.78,13273.68,140.85,183.45,41.34,0,Australia,Grains & Cereals
2021.0,33936.66,31082.900000000005,24.93,1234.55,66.51,1,UK,Frozen Food
2019.9999999999998,26418.47,24820.06,85.69,1257.32,65.04,1,Russia,Prepared Food
2021.0,25204.06,22725.56,65.79000000000002,1196.99,60.76,0,Mexico,Frozen Food
2022.0,3891.4500000000003,4059.29,183.91,160.01,43.77000000000001,0,Japan,Prepared Food
2024.0,29007.659999999996,28622.38,34.53,1327.02,56.87,2,Canada,Frozen Food
2021.0,32727.8,37447.1,100.48000000000002,261.12,39.04,2,Mexico,Meat & Seafood
2022.9999999999998,46189.14,42351.8,150.95,253.83,33.01,2,Italy,Dairy Products
2024.0,1104.56,1300.14,134.77,906.42,37.85,0,Saudi Arabia,Fruits & Vegetables
2021.0,41701.22,42629.63,154.95,850.56,64.4,2,Mexico,Prepared Food
2022.0,11484.88,10827.65,196.25999999999996,39.26,63.03,0,Turkey,Prepared Food
2021.0,23043.63,22714.51,167.69,477.2099999999999,56.080000000000005,0,Indonesia,Beverages
2024.0,49640.44,43002.21,147.97,1199.99,66.46,2,Turkey,Frozen Food
2019.0,47373.71,50237.28,122.91,1333.29,56.63,1,Japan,Frozen Food
2021.0,16464.38,18670.32,37.64,1184.69,48.42,0,China,Dairy Products
2024.0,26111.99,21589.27,168.69,1172.25,50.31,2,Germany,Fruits & Vegetables
2022.0,29147.180000000004,33953.62,131.16,1317.63,44.8,2,Turkey,Grains & Cereals
2022.9999999999998,12894.18,13051.48,160.37,418.74000000000007,46.87,0,Saudi Arabia,Dairy Products
2018.0,24353.78,26604.16,188.03,430.09,31.28,1,Italy,Fruits & Vegetables
2022.9999999999998,46296.01,45513.35,53.07000000000001,754.61,34.16,2,Germany,Prepared Food
2022.9999999999998,35998.11,32227.850000000002,69.8,672.05,48.3,2,Indonesia,Prepared Food
2024.0,19940.67,16685.0,69.49000000000001,1246.79,54.64,0,India,Bakery Items
2019.0,20682.45,18331.22,75.79,789.69,66.86,1,Mexico,Dairy Products
2024.0,25894.459999999995,23584.07,85.66000000000001,1317.81,64.46,2,India,Beverages
2024.0,6206.67,5227.1,109.03000000000002,1303.51,63.17,0,Japan,Grains & Cereals
2022.9999999999998,6158.59,5344.53,52.959999999999994,271.03,39.15,0,UK,Prepared Food
2018.0,2995.27,3247.61,47.23,592.16,49.19,0,South Korea,Dairy Products
2018.0,22227.76,24684.1,186.41,378.43,34.27,1,Indonesia,Frozen Food
2021.0,37912.85,31508.319999999996,147.55,1208.19,62.76,2,South Korea,Grains & Cereals
2022.9999999999998,45216.87,53291.62,199.27,1258.49,66.59,2,France,Prepared Food
2019.9999999999998,6000.35,6335.63,119.75,936.97,47.09,0,Saudi Arabia,Meat & Seafood
2019.0,11699.76,13226.55,139.02,143.06,54.19,0,China,Grains & Cereals
2021.0,34919.42,40964.21,196.62,343.21,35.32,2,Saudi Arabia,Prepared Food
2022.9999999999998,37270.62,43998.68,148.18,459.9,41.16,2,UK,Beverages
2018.0,30435.06,28495.47,131.24,876.44,39.94,1,Spain,Beverages
2021.0,29977.13,30214.94,92.79,330.05,46.49,2,Canada,Beverages
2024.0,41624.99,42883.64,88.01000000000002,674.31,45.05,2,Indonesia,Meat & Seafood
2022.0,23626.74,24156.13,198.38,745.17,66.68,2,France,Fruits & Vegetables
2022.0,48456.51,42311.26,191.89,370.23,57.62,2,Germany,Beverages
2022.9999999999998,11714.16,10116.0,103.42,918.9,31.39,0,Italy,Beverages
2022.9999999999998,3628.5,4199.04,100.92,654.55,59.03,0,Australia,Beverages
2019.9999999999998,5522.93,4526.35,179.95,425.2699999999999,32.98,0,Saudi Arabia,Frozen Food
2019.0,5222.79,5146.97,39.16,1388.73,60.69,0,UK,Frozen Food
2018.0,24858.689999999995,21034.4,156.15,1057.39,58.01,1,India,Prepared Food
2018.0,49002.55,39733.88,69.3,1280.4,66.77,1,Mexico,Meat & Seafood
2022.0,37440.24,33827.9,94.17,953.06,45.730000000000004,2,Brazil,Fruits & Vegetables
2022.9999999999998,30854.25,28373.57,115.04,747.57,51.99000000000001,2,Brazil,Bakery Items
2024.0,46852.8,55386.73,139.02,24.509999999999998,62.87,2,Italy,Meat & Seafood
2022.0,11318.5,12341.11,64.35,1018.05,69.02,0,Saudi Arabia,Meat & Seafood
2021.0,40184.32,39105.55,152.14,377.45,54.3,2,Turkey,Beverages
2022.9999999999998,2192.54,2459.51,181.4,705.89,58.22,0,Japan,Fruits & Vegetables
2022.9999999999998,27521.46,25452.38,176.44,1116.1,50.88000000000001,2,Argentina,Frozen Food
2021.0,33487.17,37702.25,86.33,1025.88,30.78,2,Argentina,Grains & Cereals
2024.0,35924.32,30004.899999999998,192.55999999999997,1109.32,42.27,2,USA,Prepared Food
2019.0,43465.47,42742.96,129.35,889.88,45.21999999999999,1,Argentina,Meat & Seafood
2024.0,33791.28,31479.669999999995,65.90000000000002,219.46,30.43,2,Spain,Meat & Seafood
2022.9999999999998,48216.19,51593.84,151.14,353.04,56.75,2,Indonesia,Meat & Seafood
2024.0,1314.0599999999997,1332.64,128.69,1082.83,40.81,0,France,Frozen Food
2018.0,21847.0,20986.45,84.77,846.2200000000001,34.63,1,Brazil,Dairy Products
2024.0,37050.71,38365.47,196.14000000000001,116.65999999999998,67.64,2,Saudi Arabia,Prepared Food
2019.9999999999998,41479.3,45051.73,157.4,53.57,39.76,1,France,Beverages
2019.9999999999998,24927.16,21789.99,48.660000000000004,597.02,63.44,1,France,Bakery Items
2019.9999999999998,48169.18,53898.55,60.39,1231.31,31.7,1,Argentina,Fruits & Vegetables
2022.9999999999998,16972.96,14320.65,99.26,165.4,34.47,0,Brazil,Prepared Food
2022.9999999999998,13937.280000000002,15512.109999999999,108.3,27.87,40.63,0,Spain,Dairy Products
2019.0,23004.2,19818.33,76.51,199.6,48.01,1,Germany,Beverages
2018.0,10099.58,10925.71,145.46,1363.87,58.70000000000001,0,UK,Prepared Food
2024.0,47567.09,46165.99,94.31999999999998,32.61,65.82,2,Japan,Dairy Products
2024.0,16963.98,19065.76,193.04,1268.4,35.61,0,South Africa,Fruits & Vegetables
2021.0,30672.66,31614.27,20.47,470.4100000000001,53.25,2,Spain,Frozen Food
2022.0,38383.37,42044.15,140.83,515.01,69.26,2,Russia,Meat & Seafood
2022.0,8037.7,8365.37,196.29,880.47,38.36,0,Argentina,Dairy Products
2019.0,24425.55,26942.73,54.77000000000001,966.95,58.71,1,Spain,Bakery Items
2021.0,34908.96,40850.93,121.91000000000001,237.19,40.3,2,USA,Bakery Items
2022.0,11629.26,11829.8,64.13,716.3700000000001,32.13,0,India,Frozen Food
2019.9999999999998,6880.38,7585.37,71.67000000000002,1387.28,39.9,0,China,Meat & Seafood
2018.0,1325.3699999999997,1513.38,154.74,221.32,31.13,0,Canada,Frozen Food
2024.0,3567.42,3713.77,51.71,255.85,57.8,0,Indonesia,Frozen Food
2019.0,8646.04,10179.33,132.05,73.19,34.38,0,Brazil,Dairy Products
2021.0,41619.64,44143.49,72.03000000000002,108.81000000000002,47.02,2,UK,Beverages
2019.9999999999998,10908.22,11660.55,45.21,567.83,31.92,0,UK,Bakery Items
2022.0,42281.31,42664.53,35.36,994.35,49.71,2,Saudi Arabia,Grains & Cereals
2019.9999999999998,1474.1499999999999,1540.57,196.14000000000001,105.89,58.279999999999994,0,Germany,Fruits & Vegetables
2018.0,5636.3,5593.44,34.72,911.69,58.77,0,UK,Meat & Seafood
2019.9999999999998,23475.18,20967.94,44.9,333.9,46.26,1,Turkey,Meat & Seafood
2019.0,27030.650000000005,27392.4,169.05,919.96,51.550000000000004,1,Russia,Fruits & Vegetables
2022.9999999999998,43446.92,47096.44,35.45,16.15,54.82,2,India,Meat & Seafood
2019.0,34585.58,33098.13,132.07,1354.57,34.25,1,South Africa,Grains & Cereals
2019.9999999999998,20690.04,17002.44,92.56,1201.73,60.67,0,South Africa,Beverages
2022.9999999999998,35899.52,36123.81,127.57000000000001,503.69,64.55,2,Australia,Bakery Items
2024.0,41094.36,42324.94,81.20000000000002,760.09,61.26,2,China,Dairy Products
2022.0,48642.96,50037.63,57.60999999999999,1105.55,51.9,2,USA,Bakery Items
2019.9999999999998,10517.37,11093.88,77.33,65.06,64.77,0,USA,Dairy Products
2019.9999999999998,19143.4,18627.53,199.02,544.66,39.94,0,USA,Dairy Products
2022.9999999999998,31798.500000000004,27380.38,45.10999999999999,462.38,31.349999999999998,2,Saudi Arabia,Prepared Food
2018.0,6860.6900000000005,7700.46,104.38,495.94,54.16,0,Germany,Beverages
2018.0,49122.58,51296.9,99.49,539.04,63.8,1,Brazil,Beverages
2019.9999999999998,40262.79,41152.89,58.15,816.23,52.71,1,Canada,Bakery Items
2022.0,14791.28,16497.72,159.67,667.57,58.89,0,Germany,Beverages
2022.9999999999998,6743.260000000001,6479.62,55.32999999999999,1118.23,44.54,0,Turkey,Frozen Food
2019.0,4194.06,3640.51,187.66,337.53,48.65,0,USA,Dairy Products
2022.9999999999998,46787.67,50857.0,53.419999999999995,663.44,69.02,2,Spain,Beverages
2024.0,34377.5,29795.030000000002,119.44,790.96,30.6,2,Argentina,Fruits & Vegetables
2022.9999999999998,23215.07,23317.07,195.50999999999996,669.66,35.83,2,Turkey,Bakery Items
2022.0,43199.69,47597.87,60.43,1077.09,51.84,2,Turkey,Prepared Food
2022.9999999999998,8030.169999999999,7356.13,76.42000000000002,454.38999999999993,50.03,0,UK,Bakery Items
2021.0,6814.57,6646.62,55.239999999999995,336.87,31.51,0,Japan,Bakery Items
2024.0,3959.24,4269.63,107.29000000000002,987.09,33.89,0,France,Bakery Items
2024.0,7049.170000000001,7695.97,136.52,643.09,41.239999999999995,0,Saudi Arabia,Meat & Seafood
2019.0,4927.29,5656.69,114.22999999999999,405.74,67.03,0,Italy,Grains & Cereals
2021.0,38211.0,45495.03,181.25,1369.27,40.3,2,Australia,Grains & Cereals
2024.0,5058.24,4824.18,144.75,1382.05,63.4,0,South Korea,Dairy Products
2022.0,36132.58,36878.62,116.97,999.12,37.92,2,Brazil,Prepared Food
2019.9999999999998,578.58,646.46,94.43,534.07,37.47,0,Canada,Bakery Items
2021.0,24046.92,22580.75,46.84,26.69,36.81,0,UK,Fruits & Vegetables
2024.0,40854.18,40444.58,68.81,47.02,49.97,2,Japan,Beverages
2022.9999999999998,32931.8,37000.2,24.98,358.18,44.08,2,Indonesia,Beverages
2024.0,23137.63,27294.6,173.68,808.3299999999999,34.76,2,South Africa,Grains & Cereals
2021.0,3088.35,2809.98,179.07,391.35,42.48,0,Argentina,Beverages
2022.9999999999998,31130.269999999997,36622.71,139.05,415.18999999999994,60.61,2,Italy,Fruits & Vegetables
2019.0,31515.320000000003,37428.53,179.92,1274.45,36.63,1,Brazil,Fruits & Vegetables
2018.0,41159.8,38825.97,81.6,835.23,31.240000000000002,1,India,Bakery Items
2022.0,40267.47,39933.88,171.17,844.9300000000001,42.92999999999999,2,Canada,Dairy Products
2019.0,20750.01,20032.02,32.25,960.1900000000002,47.99,1,Mexico,Dairy Products
2019.0,8381.26,7150.57,132.06,1307.9,37.53,0,China,Bakery Items
2022.0,25689.2,27161.16,190.25,722.25,41.02,2,Saudi Arabia,Grains & Cereals
2019.9999999999998,15808.38,16825.54,194.85,1098.0,33.16,0,Brazil,Prepared Food
2022.0,3751.19,3403.5,112.55,600.38,69.47,0,South Africa,Meat & Seafood
2019.9999999999998,15333.150000000001,13655.73,32.53,599.9,65.49,0,Argentina,Prepared Food
2019.9999999999998,45456.99,47399.77,105.51999999999998,897.68,54.38,1,Australia,Fruits & Vegetables
2022.0,12712.22,11265.97,31.29,1167.45,48.77000000000001,0,USA,Meat & Seafood
2019.0,48904.89,57120.77,186.50999999999996,94.54,35.42,1,Argentina,Grains & Cereals
2018.0,38921.02,38773.26,130.39,1205.11,60.75,1,Turkey,Fruits & Vegetables
2024.0,6167.66,6479.29,165.44,1190.31,62.480000000000004,0,Canada,Meat & Seafood
2019.9999999999998,3471.38,3642.06,162.64,1201.95,52.96,0,Japan,Prepared Food
2019.9999999999998,36432.74,38640.08,160.6,790.29,42.47,1,Saudi Arabia,Grains & Cereals
2019.0,19231.85,16773.79,70.91,1235.48,56.95,1,South Korea,Frozen Food
2018.0,4198.48,4740.46,183.38999999999996,802.23,56.39000000000001,0,South Korea,Bakery Items
2019.0,48375.92,54885.58,111.57,87.25,41.21,1,South Korea,Frozen Food
2019.9999999999998,23721.0,27890.37,55.83,308.82,69.52,1,Russia,Frozen Food
2022.0,49893.95999999999,42739.19,123.54,446.96999999999997,62.03,2,Spain,Fruits & Vegetables
2022.9999999999998,42544.59,39659.69,97.09,58.21,65.41,2,France,Grains & Cereals
2022.9999999999998,15275.97,13016.74,39.68,640.22,60.67999999999999,0,France,Bakery Items
2021.0,3714.4399999999996,3261.31,170.97,232.56000000000003,37.18,0,Australia,Meat & Seafood
2022.0,739.5,763.45,172.65,673.21,59.47,0,France,Dairy Products
2021.0,32933.1,26687.76,174.87,367.32000000000005,45.48,2,Turkey,Meat & Seafood
2018.0,25308.57,30171.15,66.16,1015.59,34.48,1,USA,Grains & Cereals
2022.0,16593.43,16794.72,40.0,18.13,58.34,0,Italy,Prepared Food
2019.0,49576.05,40382.72,104.51,173.02,44.08,1,South Africa,Bakery Items
2019.9999999999998,4364.47,4652.61,169.33,267.81,51.78,0,India,Dairy Products
2021.0,24385.74,25811.86,54.04,1061.4,65.2,1,Brazil,Prepared Food
2022.9999999999998,16869.71,14181.75,157.22,874.04,37.1,0,France,Dairy Products
2022.9999999999998,21397.48,18490.31,177.98,956.4499999999999,45.71,0,Brazil,Meat & Seafood
2019.0,39896.88,34365.58,92.78,744.95,69.4,1,South Korea,Fruits & Vegetables
2018.0,11229.86,9641.07,175.21,831.35,31.32,0,South Africa,Grains & Cereals
2022.9999999999998,9716.22,10604.28,149.42,963.75,41.6,0,Spain,Frozen Food
2024.0,30243.940000000002,26197.12,171.54,863.36,45.77000000000001,2,China,Frozen Food
2021.0,3818.33,4240.41,59.44,97.08,36.57,0,Japan,Grains & Cereals
2019.9999999999998,35940.67,41777.45,65.48,904.28,60.65,1,Germany,Grains & Cereals
2021.0,4959.43,4817.6,155.89,774.03,43.28,0,Canada,Beverages
2019.9999999999998,20329.78,17755.81,62.5,51.24,67.45,0,UK,Dairy Products
2021.0,44554.11,53406.23,169.72,666.78,51.47,2,Argentina,Grains & Cereals
2022.0,31835.399999999998,33619.04,186.04,1085.21,40.81,2,South Korea,Beverages
2022.9999999999998,35643.89,41185.44,65.93,1062.33,32.18,2,Germany,Beverages
2019.0,16133.759999999998,15262.810000000001,129.2,515.2,49.9,0,Spain,Fruits & Vegetables
2021.0,1709.1599999999999,1961.2999999999997,194.1,244.01,30.41,0,Italy,Grains & Cereals
2022.9999999999998,41482.57,46333.09,121.92,244.71,61.46,2,South Korea,Fruits & Vegetables
2021.0,46273.76,53925.1,65.3,536.6,48.94,2,Indonesia,Fruits & Vegetables
2024.0,31630.650000000005,36217.51,181.08,270.32,56.04,2,China,Fruits & Vegetables
2018.0,3623.19,3779.23,164.96,1266.09,45.77000000000001,0,Australia,Frozen Food
2018.0,46482.1,55692.74,112.89999999999999,235.89,35.11,1,Australia,Frozen Food
2024.0,7654.24,8374.5,40.54,850.7400000000001,60.900000000000006,0,South Korea,Dairy Products
2019.9999999999998,46944.56,50437.65,151.66,164.41,33.77,1,South Korea,Beverages
2019.9999999999998,8933.08,8058.579999999999,118.62999999999998,96.64999999999999,64.56,0,Argentina,Prepared Food
2021.0,49843.31,53122.46,182.65,1184.54,34.76,2,Germany,Meat & Seafood
2021.0,1504.09,1538.7699999999998,141.39,286.04,36.2,0,Mexico,Beverages
2021.0,47308.57,48088.55,86.74,839.0600000000001,60.22,2,UK,Frozen Food
2019.9999999999998,27939.53,25519.13,85.87000000000002,1253.46,37.58,1,India,Meat & Seafood
2018.0,13854.470000000001,15117.890000000001,103.59,83.38,67.81,1,Spain,Prepared Food
2018.0,38417.13,34206.81,41.04,807.6600000000001,41.01,1,China,Grains & Cereals
2022.9999999999998,38328.79,41982.15,32.63,785.91,57.74,2,South Korea,Frozen Food
2024.0,42665.84,50088.64,158.69,661.13,47.57000000000001,2,Indonesia,Dairy Products
2022.0,37587.48,37984.64,60.13,361.0799999999999,43.27,2,Saudi Arabia,Dairy Products
2018.0,44840.34,52923.07,161.21,48.84,45.78,1,Canada,Prepared Food
2019.9999999999998,14928.800000000001,16120.56,34.49,1182.34,48.13,0,Italy,Fruits & Vegetables
2019.0,48827.14,47821.6,195.5,397.41,64.7,1,Argentina,Prepared Food
2022.9999999999998,41053.02,45487.65,157.25,886.32,57.9,2,India,Beverages
2022.0,47284.74,54679.88,86.66,891.21,34.15,2,Japan,Frozen Food
2019.0,21011.84,17190.44,179.55,253.71,34.29,1,Brazil,Frozen Food
2024.0,47975.09,57145.29,197.07,1192.25,37.85,2,Spain,Fruits & Vegetables
2021.0,9749.6,8533.14,88.77000000000001,1321.24,49.88000000000001,0,USA,Prepared Food
2022.0,19970.98,20997.66,100.94999999999999,180.09,57.56,0,China,Frozen Food
2018.0,28264.6,26586.74,131.87,734.5599999999998,38.27,1,Italy,Bakery Items
2019.9999999999998,14149.169999999998,13279.14,39.32,775.43,44.02,0,Canada,Beverages
2019.9999999999998,16677.83,19617.08,150.27,225.48,39.84,0,Canada,Fruits & Vegetables
2019.0,33127.97,33984.19,116.88,396.48,37.8,1,Japan,Bakery Items
2022.9999999999998,49823.95,57142.48,59.49,1028.07,64.88,2,Italy,Grains & Cereals
2019.9999999999998,35800.0,38746.59,63.99,1012.2400000000001,40.61,1,France,Frozen Food
2019.9999999999998,39534.3,35806.77,29.72,1114.18,38.17,1,South Korea,Meat & Seafood
2021.0,44741.46,52445.59,54.59,960.74,64.43,2,UK,Beverages
2018.0,5566.38,6572.58,177.5,113.24,48.79,0,Russia,Meat & Seafood
2022.9999999999998,47358.87,41016.65,172.4,829.62,34.05,2,China,Frozen Food
2022.0,6445.460000000001,6889.42,168.41,300.61,45.14,0,Australia,Prepared Food
2022.0,10489.55,11668.87,116.65999999999998,1379.49,66.13,0,Indonesia,Prepared Food
2019.0,27231.36,25786.68,164.63,735.45,59.54,1,UK,Bakery Items
2019.9999999999998,20868.28,22147.11,176.22,932.41,53.02,1,Russia,Dairy Products
2018.0,48231.23,51550.44,63.65,1354.85,49.11,1,India,Meat & Seafood
2019.9999999999998,25634.290000000005,28608.02,91.47999999999999,976.84,51.63,1,Japan,Beverages
2024.0,47696.15,42730.6,29.76,1149.91,35.22,2,UK,Dairy Products
2019.0,7525.2,7500.460000000001,56.24999999999999,573.65,61.63,0,China,Meat & Seafood
2022.0,16295.06,15742.71,194.26,1005.6299999999999,32.61,0,Spain,Beverages
2019.0,48254.61,55699.76,47.58,1112.73,32.38,1,South Korea,Dairy Products
2018.0,9673.67,10064.78,140.33,977.5899999999999,40.76,0,South Africa,Meat & Seafood
2024.0,27091.6,29279.15,138.61,1150.97,46.48,2,Argentina,Fruits & Vegetables
2021.0,24720.56,27802.44,134.46,607.91,39.2,2,Brazil,Frozen Food
2021.0,15173.36,16088.2,145.0,536.59,59.83,0,China,Meat & Seafood
2022.9999999999998,16959.33,16228.689999999999,62.9,515.74,58.05,0,Saudi Arabia,Frozen Food
2018.0,22685.51,26055.96,116.34,306.19,31.21,1,Spain,Fruits & Vegetables
2024.0,31823.4,32839.68,82.47000000000001,1080.81,57.03,2,Brazil,Frozen Food
2019.9999999999998,26312.28,28731.45,129.82,1184.85,59.89,1,Turkey,Fruits & Vegetables
2024.0,12463.29,14521.65,110.45,1200.44,64.35,0,South Korea,Prepared Food
2019.0,13335.530000000002,15984.75,52.08,318.89,43.42,0,USA,Bakery Items
2022.9999999999998,13851.18,11430.7,119.26,1157.56,52.12,0,France,Grains & Cereals
2024.0,13285.19,14486.71,82.34,310.96,40.72,0,USA,Meat & Seafood
2022.0,11936.85,13402.52,137.37,74.28,63.35,0,Argentina,Dairy Products
2024.0,28461.83,24132.13,86.06000000000002,1246.6,56.4,2,Canada,Fruits & Vegetables
2024.0,32998.71,31325.019999999997,49.89,868.78,59.65999999999999,2,Mexico,Prepared Food
2018.0,18784.36,19388.71,80.73,123.56,62.07,1,China,Fruits & Vegetables
2019.9999999999998,11226.72,9121.44,166.54,42.38999999999999,60.61,0,China,Bakery Items
2024.0,39609.6,33231.19,64.46,855.5699999999999,46.09,2,France,Fruits & Vegetables
2019.9999999999998,32669.749999999996,37578.41,112.89,240.33,57.24,1,Brazil,Grains & Cereals
2019.9999999999998,4595.08,3780.96,28.93,517.12,59.09,0,Spain,Frozen Food
2019.9999999999998,26344.41,21515.45,52.900000000000006,1322.82,35.15,1,Indonesia,Prepared Food
2022.9999999999998,27318.34,25841.38,35.52,339.53,57.15,2,Saudi Arabia,Meat & Seafood
2022.9999999999998,37886.84,41860.68,129.59,657.36,31.69,2,Russia,Meat & Seafood
2024.0,2225.09,1836.7599999999998,104.14,1157.3,62.86,0,Indonesia,Bakery Items
2022.0,3703.66,3078.03,160.61,657.65,36.48,0,Mexico,Meat & Seafood
2019.9999999999998,41783.18,41756.91,139.1,1169.66,40.7,1,Indonesia,Frozen Food
2019.9999999999998,44433.25,44849.49,150.83,1127.17,61.27,1,Brazil,Prepared Food
2018.0,12950.96,11413.42,31.78,174.12,40.12,0,Spain,Prepared Food
2019.0,21322.29,21219.75,142.93,72.54,44.11,1,Germany,Dairy Products
2022.0,30712.33,35453.71,84.58,1152.47,47.68,2,Indonesia,Beverages
2024.0,10300.52,11104.21,62.1,1315.28,49.86000000000001,0,France,Dairy Products
2021.0,29871.2,31874.060000000005,58.50000000000001,849.2700000000001,58.85,1,South Korea,Grains & Cereals
2021.0,3774.42,4430.59,159.63,504.93000000000006,54.43,0,South Korea,Beverages
2019.0,16766.0,18496.75,132.32,98.92,31.950000000000003,0,India,Grains & Cereals
2019.0,3285.83,2642.49,30.27,1010.38,40.88,0,Japan,Grains & Cereals
2022.0,30609.13,26741.35,87.04000000000002,231.66,42.59,2,South Korea,Dairy Products
2019.0,20490.36,18726.21,106.77,336.01,51.59000000000001,1,Argentina,Frozen Food
2019.9999999999998,36826.44,42048.9,150.4,516.02,55.32,1,USA,Beverages
2021.0,12148.41,12962.53,113.06,423.76,66.6,0,Italy,Meat & Seafood
2019.0,26723.91,22010.24,87.54,766.34,51.54,1,Saudi Arabia,Dairy Products
2021.0,20385.31,21467.14,134.21,856.0500000000001,44.38,0,India,Fruits & Vegetables
2024.0,9272.98,10324.97,182.31000000000003,675.39,46.239999999999995,0,USA,Prepared Food
2021.0,34325.04,33080.21,80.55,826.63,48.29,2,Australia,Dairy Products
